;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22
№ строки;Наименование показателя;"Всего сумма граф 4 - 16; сумма граф 20-22";В том числе 1-й класс;В том числе 2-й класс;В том числе 3-й класс;В том числе 4-й класс;В том числе 5-й класс;В том числе 6-й класс;В том числе 7-й класс;В том числе 8-й класс;В том числе 9-й класс;В том числе 10-й класс;В том числе 11-й класс (выпускной);В том числе 11-й класс;В том числе 12-й класс;Из графы 3 инвалиды;Из графы 3 дети-инвалиды;Из графы 3 с умственной отсталостью;В том числе обучаются (из гр.3) очно;В том числе обучаются (из гр.3) очно-заочно;В том числе обучаются (из гр.3) заочно
1;Число классов, имеющих в своем составе лиц с ограниченными возможностями здоровья, ед.;3882;355;363;437;497;438;448;464;435;388;25;32;;;;;;;;
2;В них обучающихся (всего), чел.;87625;8437;8678;10055;11599;9647;10159;10213;9275;8407;549;606;;;;;;;;
3;из них (из строки 02) лица с ограниченными       возможностями здоровья:          глухие;3;;;1;1;1;;;;;;;;;;3;;3;;
4;слабослышащие;106;14;8;17;11;15;7;14;9;10;;1;;;;94;;106;;
5;позднооглохшие;2;;1;;;;1;;;;;;;;;2;;2;;
6;слепые;3;;;;1;1;1;;;;;;;;;3;;3;;
7;слабовидящие;155;7;9;22;21;12;19;22;13;18;7;5;;;;61;;155;;
8;с тяжелыми нарушениями речи;465;54;71;78;96;48;43;23;29;23;;;;;;38;;465;;
9;с нарушением опорно-двигательного аппарата;541;73;69;69;76;48;53;52;47;36;8;10;;;2;510;17;537;3;1
10;с задержкой психического развития;2393;147;183;275;332;256;300;310;300;286;3;1;;;;189;;2391;2;
11;с умственной отсталостью (интеллектуальными          нарушениями);1651;95;97;133;172;228;233;243;238;194;9;9;;;18;983;;1634;16;1
12;с расстройствами аутистического спектра;606;194;59;74;115;30;45;36;28;16;3;6;;;2;559;29;604;2;
13;со сложными дефектами;27;2;;4;3;4;5;2;6;1;;;;;;27;1;25;2;
14;с иными ограниченными возможностями          здоровья;20;1;;;;3;3;4;3;3;1;2;;;1;17;;20;;
