;;
;;
;;
;;
;;
1;2;3
№ строки;Наименование показателей;Код: да – 1, нет – 0
1;Лицензия на осуществление образовательной деятельности;43420
2;Свидетельство о государственной аккредитации образовательной деятельности по образовательным программам начального общего, основного общего, среднего общего образования;42212
3;Коллегиальные органы управления;41763
4;в том числе:       общее собрание;34411
5;педагогический совет;41131
6;попечительский совет;5438
7;управляющий совет;19124
8;наблюдательный совет;4055
9;другие;8846
10;Советы обучающихся;32533
11;Советы родителей;32928
12;Профессиональные союзы работников;35536
13;из строки 03 с участием общественности (родителей, работодателей);31263
