;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14
№ строки;Наименование показателя;"Всего  (сумма граф 4–10;  сумма граф  12-14)";Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы начального общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы основного общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы начального общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы основного общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья образование обучающихся с умственной отсталостью (интеллектуаль- ными нарушениями);Из графы 3 – лица в возрасте 18 лет и старше;Из графы 3 - обучались очно;Из графы 3 - обучались очно-заочно;Из графы 3 - обучались заочно
1;Выбыло обучающихся – всего (сумма строк 02, 05, 08–13);1192038;449803;571762;143971;7438;6685;805;11574;30073;1158212;22970;10856
2;в том числе:       продолжили обучение в данной организации в классах  иной формы       обучения или иной направленности;23000;8732;10897;2040;440;425;9;457;194;22415;401;184
3;из них (из строки 02):             в классах с иной формой обучения в пределах одной и той же             направленности;2660;761;1231;349;114;106;;99;59;2518;86;56
4;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в классы для обучающихся             с ограниченными возможностями здоровья;3631;2084;1478;69;;;;;;3627;4;
5;выбыли в другие организации для продолжения обучения по       программам начального, основного или среднего общего образования;1011075;430129;506022;55904;6600;4513;220;7687;3971;1006003;2940;2132
6;из них (из строки 05) выбыло:             в классы иной формы обучения в пределах одной и той же             направленности;27613;10860;13526;1705;600;366;13;543;97;27413;122;78
7;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в организации (классы) для обучающихся             с ограниченными возможностями здоровья;8536;5044;3160;332;;;;;10;8523;9;4
8;на обучение по программам среднего профессионального образования –       программам подготовки квалифицированных рабочих, служащих;41301;44;15711;24535;;864;147;;1319;39572;1157;572
9;на обучение по программам среднего профессионального образования –       программы подготовки специалистов среднего звена;38515;;12255;25945;;240;75;;840;37482;765;268
10;в связи с переходом на семейное образование и самообразование;21045;6605;9744;4072;183;113;14;314;331;19732;384;929
11;по болезни;418;61;100;185;2;9;11;50;112;320;54;44
12;отчислено лиц, не прошедших итоговой аттестации, получивших на       итоговой аттестации неудовлетворительные результаты или освоивших       часть образовательной программы со справкой об обучении       или о периоде обучения;6855;9;3177;3505;;86;16;62;1932;5122;1151;582
13;выбыло по другим причинам;49829;4223;13856;27785;213;435;313;3004;21374;27566;16118;6145
