;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14
№ строки;Наименование показателя;"Всего  (сумма граф 4–10;  сумма граф  12-14)";Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы начального общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы основного общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы начального общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы основного общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья образование обучающихся с умственной отсталостью (интеллектуаль- ными нарушениями);Из графы 3 – лица в возрасте 18 лет и старше;Из графы 3 - обучались очно;Из графы 3 - обучались очно-заочно;Из графы 3 - обучались заочно
1;Выбыло обучающихся – всего (сумма строк 02, 05, 08–13);8805;2751;4824;953;75;91;;111;280;8575;173;57
2;в том числе:       продолжили обучение в данной организации в классах  иной формы       обучения или иной направленности;133;48;68;1;8;3;;5;1;133;;
3;из них (из строки 02):             в классах с иной формой обучения в пределах одной и той же             направленности;30;11;17;;;;;2;;30;;
4;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в классы для обучающихся             с ограниченными возможностями здоровья;61;39;22;;;;;;;61;;
5;выбыли в другие организации для продолжения обучения по       программам начального, основного или среднего общего образования;7239;2595;4118;320;66;71;;69;4;7213;21;5
6;из них (из строки 05) выбыло:             в классы иной формы обучения в пределах одной и той же             направленности;260;95;120;19;9;7;;10;1;260;;
7;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в организации (классы) для обучающихся             с ограниченными возможностями здоровья;46;35;11;;;;;;;46;;
8;на обучение по программам среднего профессионального образования –       программам подготовки квалифицированных рабочих, служащих;432;;256;175;;1;;;2;397;35;
9;на обучение по программам среднего профессионального образования –       программы подготовки специалистов среднего звена;214;;43;166;;5;;;1;214;;
10;в связи с переходом на семейное образование и самообразование;299;69;180;38;;7;;5;1;281;8;10
11;по болезни;;;;;;;;;;;;
12;отчислено лиц, не прошедших итоговой аттестации, получивших на       итоговой аттестации неудовлетворительные результаты или освоивших       часть образовательной программы со справкой об обучении       или о периоде обучения;46;;36;9;;1;;;9;44;2;
13;выбыло по другим причинам;442;39;123;244;1;3;;32;262;293;107;42
