;;
;;
;;
;;
;;
1;2;3
№ строки;Наименование показателей;Код: да – 1, нет – 0
1;Лицензия на осуществление образовательной деятельности;165
2;Свидетельство о государственной аккредитации образовательной деятельности по образовательным программам начального общего, основного общего, среднего общего образования;160
3;Коллегиальные органы управления;164
4;в том числе:       общее собрание;128
5;педагогический совет;163
6;попечительский совет;18
7;управляющий совет;74
8;наблюдательный совет;82
9;другие;25
10;Советы обучающихся;147
11;Советы родителей;125
12;Профессиональные союзы работников;67
13;из строки 03 с участием общественности (родителей, работодателей);82
14;Организация реализует профориентационный минимум;136
15;в том числе:       на базовом уровне;22
16;на основном уровне;83
17;на продвинутом уровне;42
