;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22
№ строки;Наименование показателя;"Всего сумма граф 4 - 16; сумма граф 20-22";В том числе 1-й класс;В том числе 2-й класс;В том числе 3-й класс;В том числе 4-й класс;В том числе 5-й класс;В том числе 6-й класс;В том числе 7-й класс;В том числе 8-й класс;В том числе 9-й класс;В том числе 10-й класс;В том числе 11-й класс (выпускной);В том числе 11-й класс;В том числе 12-й класс;Из графы 3 инвалиды;Из графы 3 дети-инвалиды;Из графы 3 с умственной отсталостью;В том числе обучаются (из гр.3) очно;В том числе обучаются (из гр.3) очно-заочно;В том числе обучаются (из гр.3) заочно
1;Число классов, имеющих в своем составе лиц с ограниченными возможностями здоровья, ед.;2244;243;243;301;333;220;249;220;230;201;;4;;;;;;;;
2;В них обучающихся (всего), чел.;57671;6124;6321;7894;8717;5742;6312;5462;5758;5013;136;192;;;;;;;;
3;из них (из строки 02) лица с ограниченными       возможностями здоровья:          глухие;3;1;2;;;;;;;;;;;;;3;;3;;
4;слабослышащие;47;2;7;8;9;4;5;3;3;5;;1;;;2;30;;47;;
5;позднооглохшие;4;1;2;;;;1;;;;;;;;1;2;;4;;
6;слепые;2;1;;;1;;;;;;;;;;;1;;2;;
7;слабовидящие;44;1;3;8;4;4;5;5;8;6;;;;;3;16;;44;;
8;с тяжелыми нарушениями речи;51;9;7;7;20;3;;2;1;2;;;;;;12;;51;;
9;с нарушением опорно-двигательного аппарата;170;23;29;18;28;13;25;10;14;8;;2;;;5;142;10;169;1;
10;с задержкой психического развития;3243;295;278;434;577;314;371;335;351;288;;;;;2;90;3;3243;;
11;с умственной отсталостью (интеллектуальными          нарушениями);1093;58;64;120;116;120;190;144;170;111;;;;;43;354;;1092;;1
12;с расстройствами аутистического спектра;216;96;26;21;19;13;24;8;5;4;;;;;13;122;31;216;;
13;со сложными дефектами;;;;;;;;;;;;;;;;;;;;
14;с иными ограниченными возможностями          здоровья;18;2;4;1;;1;2;2;1;2;1;2;;;;12;;18;;
