;;
;;
;;
;;
;;
1;2;3
№ строки;Наименование показателей;Код: да – 1, нет – 0
1;Лицензия на осуществление образовательной деятельности;166
2;Свидетельство о государственной аккредитации образовательной деятельности по образовательным программам начального общего, основного общего, среднего общего образования;161
3;Коллегиальные органы управления;166
4;в том числе:       общее собрание;148
5;педагогический совет;164
6;попечительский совет;15
7;управляющий совет;51
8;наблюдательный совет;11
9;другие;69
10;Советы обучающихся;122
11;Советы родителей;105
12;Профессиональные союзы работников;139
13;из строки 03 с участием общественности (родителей, работодателей);141
14;Организация реализует профориентационный минимум;150
15;в том числе:       на базовом уровне;103
16;на основном уровне;39
17;на продвинутом уровне;11
