;;
;;
;;
;;
;;
1;2;3
№ строки;Наименование показателей;Код: да – 1, нет – 0
1;Лицензия на осуществление образовательной деятельности;694
2;Свидетельство о государственной аккредитации образовательной деятельности по образовательным программам начального общего, основного общего, среднего общего образования;682
3;Коллегиальные органы управления;694
4;в том числе:       общее собрание;624
5;педагогический совет;694
6;попечительский совет;42
7;управляющий совет;130
8;наблюдательный совет;2
9;другие;371
10;Советы обучающихся;575
11;Советы родителей;597
12;Профессиональные союзы работников;623
13;из строки 03 с участием общественности (родителей, работодателей);623
14;Организация реализует профориентационный минимум;669
15;в том числе:       на базовом уровне;
16;на основном уровне;582
17;на продвинутом уровне;87
