;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
№ строки;Наименование показателей;Всего (сумма граф 4 – 16);Программы начального общего образования 1-й класс;Программы начального общего образования 2-й класс;Программы начального общего образования 3-й класс;Программы начального общего образования 4-й класс;Программы основного общего образования 5-й класс;Программы основного общего образования 6-й класс;Программы основного общего образования 7-й класс;Программы основного общего образования 8-й класс;Программы основного общего образования 9-й класс;Программы среднего общего образования 10-й класс;Программы среднего общего образования 11-й класс (выпускной);Программы среднего общего образования 11-й класс;Программы среднего общего образования 12-й класс
1;Всего обучающихся, окончивших классы (сумма строк 02, 06);226928;23065;24400;25508;24586;24968;22949;22413;22299;20893;8577;6973;167;130
2;Численность обучающихся, окончивших данный класс – всего  (сумма строк 03–05);226498;23011;24342;25451;24535;24933;22922;22395;22274;20826;8564;6948;167;130
3;в том числе обучались:       очно;225170;23010;24342;25437;24527;24894;22883;22298;22119;20492;8270;6898;;
4;очно-заочно;1006;1;;14;4;36;35;72;101;254;220;49;115;105
5;заочно;322;;;;4;3;4;25;54;80;74;1;52;25
6;Численность экстернов, окончивших данный класс;430;54;58;57;51;35;27;18;25;67;13;25;;
7;из них (из стр.06)  обучались:       в форме семейного образования;422;54;58;57;51;35;27;18;25;67;11;19;;
8;в форме самообразования;8;;;;;;;;;;2;6;;
9;по программам, не имеющим государственной аккредитации;;;;;;;;;;;;;;
