;;
;;
;;
;;
;;
1;2;3
№ строки;Наименование показателей;Код: да – 1, нет – 0
1;Лицензия на осуществление образовательной деятельности;448
2;Свидетельство о государственной аккредитации образовательной деятельности по образовательным программам начального общего, основного общего, среднего общего образования;425
3;Коллегиальные органы управления;446
4;в том числе:       общее собрание;341
5;педагогический совет;443
6;попечительский совет;54
7;управляющий совет;38
8;наблюдательный совет;20
9;другие;127
10;Советы обучающихся;296
11;Советы родителей;301
12;Профессиональные союзы работников;351
13;из строки 03 с участием общественности (родителей, работодателей);225
14;Организация реализует профориентационный минимум;414
15;в том числе:       на базовом уровне;170
16;на основном уровне;200
17;на продвинутом уровне;46
