;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13
№ строки;Наименование показателей;"Всего  (сумма граф 4–9; сумма граф 11-13)";Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы начального общего образования (1–4 классы);Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы основного общего образования (5–9 классы);Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы среднего общего образования (10–11(12) классы);Классы для обучающихся с ограниченными возможностями здоровья, кроме классов для обучающихся с умственной отсталостью (интеллектуальными нарушениями) программы начального общего образования;Классы для обучающихся с ограниченными возможностями здоровья, кроме классов для обучающихся с умственной отсталостью (интеллектуальными нарушениями) программы основного общего образования;Классы для обучающихся с ограниченными возможностями здоровья, кроме классов для обучающихся с умственной отсталостью (интеллектуальными нарушениями) программы среднего общего образования;Из граф 3 изучают 2-й, 3-й и более иностранные языки;Из графы 3 обучаются очно;Из графы 3 обучаются очно-заочно;Из графы 3 обучаются заочно
1;Численность обучающихся, которым в соответствии с образовательной про-граммой должны преподаваться иностранные языки (сумма строк 02, 16);128049;44752;71004;10553;572;1157;11;;127776;200;73
2;В том числе обучающиеся, которым:       преподается иностранный язык;127548;44663;70619;10553;572;1130;11;;127275;200;73
3;из них преподается язык:             английский;122553;43107;67738;10114;532;1051;11;1159;122318;162;73
4;французский;1756;;1670;69;;17;;1564;1756;;
5;немецкий;13294;1556;10996;519;40;183;;7338;13254;38;2
6;итальянский;;;;;;;;;;;
7;испанский;10;;10;;;;;10;10;;
8;китайский;;;;;;;;;;;
9;арабский;;;;;;;;;;;
10;португальский;;;;;;;;;;;
11;турецкий;;;;;;;;;;;
12;корейский;;;;;;;;;;;
13;японский;;;;;;;;;;;
14;иврит;;;;;;;;;;;
15;другие;;;;;;;;;;;
16;не преподается иностранный язык;501;89;385;;;27;;;501;;
17;из строки 16 – из-за отсутствия учителя иностранного языка;501;89;385;;;27;;;501;;
18;Из строки 02 – изучают:             2 иностранных языка;10071;;9801;149;;121;;;10069;;2
19;3 и более иностранных языка;;;;;;;;;;;
