;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22
№ строки;Наименование показателя;"Всего сумма граф 4 - 16; сумма граф 20-22";В том числе 1-й класс;В том числе 2-й класс;В том числе 3-й класс;В том числе 4-й класс;В том числе 5-й класс;В том числе 6-й класс;В том числе 7-й класс;В том числе 8-й класс;В том числе 9-й класс;В том числе 10-й класс;В том числе 11-й класс (выпускной);В том числе 11-й класс;В том числе 12-й класс;Из графы 3 инвалиды;Из графы 3 дети-инвалиды;Из графы 3 с умственной отсталостью;В том числе обучаются (из гр.3) очно;В том числе обучаются (из гр.3) очно-заочно;В том числе обучаются (из гр.3) заочно
1;Число классов, имеющих в своем составе лиц с ограниченными возможностями здоровья, ед.;2322;228;259;294;291;224;251;242;259;262;6;6;;;;;;;;
2;В них обучающихся (всего), чел.;54553;5539;6371;7197;6973;5287;5887;5532;5857;5686;120;104;;;;;;;;
3;из них (из строки 02) лица с ограниченными       возможностями здоровья:          глухие;;;;;;;;;;;;;;;;;;;;
4;слабослышащие;21;2;3;2;4;3;1;1;3;2;;;;;;14;;21;;
5;позднооглохшие;1;;;;;;;;1;;;;;;;1;;1;;
6;слепые;9;1;;1;;2;1;1;2;1;;;;;;8;;9;;
7;слабовидящие;97;7;9;18;10;5;14;9;16;3;3;3;;;;31;;97;;
8;с тяжелыми нарушениями речи;457;86;91;106;81;23;28;18;13;11;;;;;;16;;457;;
9;с нарушением опорно-двигательного аппарата;118;10;15;10;13;11;13;11;9;13;6;7;;;4;102;;117;;1
10;с задержкой психического развития;3405;274;311;388;409;326;378;379;466;473;1;;;;2;105;1;3403;2;
11;с умственной отсталостью (интеллектуальными          нарушениями);165;9;13;15;20;19;21;23;31;12;;2;;;1;78;;164;;1
12;с расстройствами аутистического спектра;34;11;5;1;5;2;4;1;2;1;1;1;;;;26;;33;1;
13;со сложными дефектами;1;;;;;;;;1;;;;;;;1;;1;;
14;с иными ограниченными возможностями          здоровья;68;11;10;8;14;8;3;7;2;5;;;;;;40;;68;;
