;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22
№ строки;Наименование показателя;"Всего сумма граф 4 - 16; сумма граф 20-22";В том числе 1-й класс;В том числе 2-й класс;В том числе 3-й класс;В том числе 4-й класс;В том числе 5-й класс;В том числе 6-й класс;В том числе 7-й класс;В том числе 8-й класс;В том числе 9-й класс;В том числе 10-й класс;В том числе 11-й класс (выпускной);В том числе 11-й класс;В том числе 12-й класс;Из графы 3 инвалиды;Из графы 3 дети-инвалиды;Из графы 3 с умственной отсталостью;В том числе обучаются (из гр.3) очно;В том числе обучаются (из гр.3) очно-заочно;В том числе обучаются (из гр.3) заочно
1;Число классов, имеющих в своем составе лиц с ограниченными возможностями здоровья, ед.;4484;464;554;599;583;381;478;454;453;477;19;22;;;;;;;;
2;В них обучающихся (всего), чел.;106464;11494;13832;14269;14281;8928;11239;10389;10422;10780;379;451;;;;;;;;
3;из них (из строки 02) лица с ограниченными       возможностями здоровья:          глухие;2;1;;;;;;;;1;;;;;;2;;2;;
4;слабослышащие;66;5;7;9;6;10;7;6;11;3;2;;;;;34;;65;1;
5;позднооглохшие;4;1;2;;;;;1;;;;;;;;2;;4;;
6;слепые;2;;;;1;;;;1;;;;;;;1;;2;;
7;слабовидящие;133;12;14;16;15;14;13;12;12;17;4;4;;;;37;1;133;;
8;с тяжелыми нарушениями речи;2827;524;647;633;508;126;148;108;79;53;1;;;;;26;;2826;1;
9;с нарушением опорно-двигательного аппарата;181;29;19;20;21;14;18;17;16;15;3;9;;;2;123;2;181;;
10;с задержкой психического развития;7201;488;688;876;892;504;758;872;970;1140;5;8;;;10;163;30;7178;22;1
11;с умственной отсталостью (интеллектуальными          нарушениями);688;56;55;63;66;90;85;84;91;83;6;9;;;2;214;;685;;3
12;с расстройствами аутистического спектра;78;33;16;7;4;2;4;4;4;3;;1;;;;41;1;77;;1
13;со сложными дефектами;10;;2;1;2;1;1;2;;1;;;;;;5;1;10;;
14;с иными ограниченными возможностями          здоровья;38;2;1;5;9;2;3;7;6;1;1;1;;;;11;;38;;
