;;
;;
;;
;;
;;
1;2;3
№ строки;Наименование показателей;Код: да – 1, нет – 0
1;Лицензия на осуществление образовательной деятельности;383
2;Свидетельство о государственной аккредитации образовательной деятельности по образовательным программам начального общего, основного общего, среднего общего образования;383
3;Коллегиальные органы управления;371
4;в том числе:       общее собрание;338
5;педагогический совет;370
6;попечительский совет;22
7;управляющий совет;241
8;наблюдательный совет;19
9;другие;53
10;Советы обучающихся;327
11;Советы родителей;319
12;Профессиональные союзы работников;262
13;из строки 03 с участием общественности (родителей, работодателей);273
14;Организация реализует профориентационный минимум;350
15;в том числе:       на базовом уровне;23
16;на основном уровне;240
17;на продвинутом уровне;92
