;;
;;
;;
;;
;;
1;2;3
№ строки;Наименование показателей;Код: да – 1, нет – 0
1;Лицензия на осуществление образовательной деятельности;546
2;Свидетельство о государственной аккредитации образовательной деятельности по образовательным программам начального общего, основного общего, среднего общего образования;535
3;Коллегиальные органы управления;546
4;в том числе:       общее собрание;506
5;педагогический совет;541
6;попечительский совет;142
7;управляющий совет;534
8;наблюдательный совет;32
9;другие;39
10;Советы обучающихся;444
11;Советы родителей;465
12;Профессиональные союзы работников;525
13;из строки 03 с участием общественности (родителей, работодателей);430
14;Организация реализует профориентационный минимум;484
15;в том числе:       на базовом уровне;257
16;на основном уровне;193
17;на продвинутом уровне;71
