;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11
№ строки;Наименование показателя;Всего  (сумма граф 4–10);Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы начального общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы основного общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы начального общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы основного общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья образование обучающихся с умственной отсталостью (интеллектуаль- ными нарушениями);Из графы 3 – лица в возрасте 18 лет и старше
1;Выбыло обучающихся – всего (сумма строк 02, 05, 08–13);12351;265;3440;8583;3;6;29;25;7518
2;в том числе:       продолжили обучение в данной организации в классах  иной формы       обучения или иной направленности;183;;83;97;;;1;2;47
3;из них (из строки 02):             в классах с иной формой обучения в пределах одной и той же             направленности;65;;30;32;;;1;2;28
4;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в классы для обучающихся             с ограниченными возможностями здоровья;;;;;;;;;
5;выбыли в другие организации для продолжения обучения по       программам начального, основного или среднего общего образования;1167;170;559;430;3;4;1;;211
6;из них (из строки 05) выбыло:             в классы иной формы обучения в пределах одной и той же             направленности;100;4;51;45;;;;;19
7;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в организации (классы) для обучающихся             с ограниченными возможностями здоровья;37;;36;1;;;;;
8;на обучение по программам среднего профессионального образования –       программам подготовки квалифицированных рабочих, служащих;937;;216;721;;;;;370
9;на обучение по программам среднего профессионального образования –       программы подготовки специалистов среднего звена;404;;109;294;;;1;;120
10;в связи с переходом на семейное образование и самообразование;151;;64;87;;;;;56
11;по болезни;66;;25;41;;;;;38
12;отчислено лиц, не прошедших итоговой аттестации, получивших на       итоговой аттестации неудовлетворительные результаты или освоивших       часть образовательной программы со справкой об обучении       или о периоде обучения;638;7;144;487;;;;;423
13;выбыло по другим причинам;8805;88;2240;6426;;2;26;23;6253
