;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11
№ строки;Наименование показателя;Всего  (сумма граф 4–10);Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы начального общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы основного общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы начального общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы основного общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья образование обучающихся с умственной отсталостью (интеллектуаль- ными нарушениями);Из графы 3 – лица в возрасте 18 лет и старше
1;Выбыло обучающихся – всего (сумма строк 02, 05, 08–13);32482;504;8825;23005;5;13;106;24;18504
2;в том числе:       продолжили обучение в данной организации в классах  иной формы       обучения или иной направленности;303;9;204;70;4;3;1;12;82
3;из них (из строки 02):             в классах с иной формой обучения в пределах одной и той же             направленности;136;1;65;50;4;3;1;12;55
4;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в классы для обучающихся             с ограниченными возможностями здоровья;1;;1;;;;;;
5;выбыли в другие организации для продолжения обучения по       программам начального, основного или среднего общего образования;3030;297;1527;1189;1;4;8;4;563
6;из них (из строки 05) выбыло:             в классы иной формы обучения в пределах одной и той же             направленности;124;5;95;22;;;2;;7
7;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в организации (классы) для обучающихся             с ограниченными возможностями здоровья;2;1;1;;;;;;
8;на обучение по программам среднего профессионального образования –       программам подготовки квалифицированных рабочих, служащих;1521;;465;1025;;4;27;;322
9;на обучение по программам среднего профессионального образования –       программы подготовки специалистов среднего звена;999;;136;863;;;;;242
10;в связи с переходом на семейное образование и самообразование;670;3;137;530;;;;;448
11;по болезни;104;;20;84;;;;;89
12;отчислено лиц, не прошедших итоговой аттестации, получивших на       итоговой аттестации неудовлетворительные результаты или освоивших       часть образовательной программы со справкой об обучении       или о периоде обучения;1413;4;529;869;;1;10;;598
13;выбыло по другим причинам;24442;191;5807;18375;;1;60;8;16160
