;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
1;2;3;4;5;6;7;8;9
№ строки;Наименование показателей;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы начального общего образования (1–4 классы);Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы основного общего образования (5–9 классы);Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы среднего общего образования (10–11(12) классы);Классы для обучающихся с ограниченными возможностями здоровья, кроме классов для обучающихся с умственной отсталостью (интеллектуальными нарушениями) программы начального общего образования;Классы для обучающихся с ограниченными возможностями здоровья, кроме классов для обучающихся с умственной отсталостью (интеллектуальными нарушениями) программы основного общего образования;Классы для обучающихся с ограниченными возможностями здоровья, кроме классов для обучающихся с умственной отсталостью (интеллектуальными нарушениями) программы среднего общего образования;Из граф 3–8 изучают 2-й, 3-й и более иностранные языки
1;Численность обучающихся, которым в соответствии с образовательной про-граммой должны преподаваться иностранные языки (сумма строк 02, 16);1197;23410;51578;;43;27;
2;В том числе обучающиеся, которым:       преподается иностранный язык;1169;23171;51009;;43;27;
3;из них изучают язык:             английский;1125;21628;46680;;42;27;1213
4;французский;;820;372;;1;;558
5;немецкий;44;7911;3971;;1;7;5680
6;итальянский;;35;;;;;35
7;испанский;;131;;;;;129
8;китайский;;51;;;;;51
9;арабский;;;;;;;
10;португальский;;;;;;;
11;турецкий;;;;;;;
12;корейский;;;;;;;
13;японский;;11;;;;;11
14;иврит;;;;;;;
15;другие;;24;;;;;24
16;не преподается иностранный язык;28;239;569;;;;
17;из строки 16 – из-за отсутствия учителя иностранного языка;;130;458;;;;
18;Из строки 02 – изучают:             2 иностранных языка;;7679;14;;1;7;
19;3 и более иностранных языка;;;;;;;
