;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11
№ строки;Наименование показателя;Всего  (сумма граф 4–10);Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы начального общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы основного общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы начального общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы основного общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья образование обучающихся с умственной отсталостью (интеллектуаль- ными нарушениями);Из графы 3 – лица в возрасте 18 лет и старше
1;Выбыло обучающихся – всего (сумма строк 02, 05, 08–13);1131694;443538;542410;119225;7632;6945;394;11550;9373
2;в том числе:       продолжили обучение в данной организации в классах  иной формы       обучения или иной направленности;15631;6092;7058;1351;447;335;23;325;124
3;из них (из строки 02):             в классах с иной формой обучения в пределах одной и той же             направленности;2960;1035;1251;383;102;85;;104;35
4;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в классы для обучающихся             с ограниченными возможностями здоровья;2257;1521;736;;;;;;
5;выбыли в другие организации для продолжения обучения по       программам начального, основного или среднего общего образования;1001682;429933;492833;58563;6912;5219;102;8120;2450
6;из них (из строки 05) выбыло:             в классы иной формы обучения в пределах одной и той же             направленности;22617;8461;11033;1376;605;409;13;720;35
7;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в организации (классы) для обучающихся             с ограниченными возможностями здоровья;7503;4797;2520;186;;;;;3
8;на обучение по программам среднего профессионального образования –       программам подготовки квалифицированных рабочих, служащих;38381;68;14810;22726;;639;138;;445
9;на обучение по программам среднего профессионального образования –       программы подготовки специалистов среднего звена;33651;;9766;23579;;252;54;;475
10;в связи с переходом на семейное образование и самообразование;12382;3419;6221;2280;79;118;3;262;212
11;по болезни;393;87;87;141;9;17;2;50;38
12;отчислено лиц, не прошедших итоговой аттестации, получивших на       итоговой аттестации неудовлетворительные результаты или освоивших       часть образовательной программы со справкой об обучении       или о периоде обучения;5107;26;3170;1789;1;42;21;58;788
13;выбыло по другим причинам;24467;3913;8465;8796;184;323;51;2735;4841
