;;
;;
;;
;;
;;
1;2;3
№ строки;Наименование показателей;Код: да – 1, нет – 0
1;Лицензия на осуществление образовательной деятельности;44443
2;Свидетельство о государственной аккредитации образовательной деятельности по образовательным программам начального общего, основного общего, среднего общего образования;43271
3;Коллегиальные органы управления;42608
4;в том числе:       общее собрание;34917
5;педагогический совет;41731
6;попечительский совет;5840
7;управляющий совет;19834
8;наблюдательный совет;3552
9;другие;9352
10;Советы обучающихся;32281
11;Советы родителей;32853
12;Профессиональные союзы работников;36467
13;из строки 03 с участием общественности (родителей, работодателей);32189
