;;
;;
;;
;;
;;
1;2;3
№ строки;Наименование показателей;Код: да – 1, нет – 0
1;Лицензия на осуществление образовательной деятельности;250
2;Свидетельство о государственной аккредитации образовательной деятельности по образовательным программам начального общего, основного общего, среднего общего образования;244
3;Коллегиальные органы управления;247
4;в том числе:       общее собрание;197
5;педагогический совет;245
6;попечительский совет;54
7;управляющий совет;105
8;наблюдательный совет;5
9;другие;47
10;Советы обучающихся;187
11;Советы родителей;192
12;Профессиональные союзы работников;164
13;из строки 03 с участием общественности (родителей, работодателей);178
14;Организация реализует профориентационный минимум;215
15;в том числе:       на базовом уровне;143
16;на основном уровне;68
17;на продвинутом уровне;8
