;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14
№ строки;Наименование показателя;"Всего  (сумма граф 4–10;  сумма граф  12-14)";Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы начального общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы основного общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы начального общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы основного общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья образование обучающихся с умственной отсталостью (интеллектуаль- ными нарушениями);Из графы 3 – лица в возрасте 18 лет и старше;Из графы 3 - обучались очно;Из графы 3 - обучались очно-заочно;Из графы 3 - обучались заочно
1;Выбыло обучающихся – всего (сумма строк 02, 05, 08–13);8979;3228;4709;898;35;15;1;93;156;8869;107;3
2;в том числе:       продолжили обучение в данной организации в классах  иной формы       обучения или иной направленности;82;17;21;40;;;;4;;82;;
3;из них (из строки 02):             в классах с иной формой обучения в пределах одной и той же             направленности;9;;1;4;;;;4;;9;;
4;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в классы для обучающихся             с ограниченными возможностями здоровья;1;1;;;;;;;;1;;
5;выбыли в другие организации для продолжения обучения по       программам начального, основного или среднего общего образования;7605;3115;4036;343;35;14;;62;7;7596;8;1
6;из них (из строки 05) выбыло:             в классы иной формы обучения в пределах одной и той же             направленности;107;47;53;7;;;;;;107;;
7;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в организации (классы) для обучающихся             с ограниченными возможностями здоровья;27;15;12;;;;;;;25;2;
8;на обучение по программам среднего профессионального образования –       программам подготовки квалифицированных рабочих, служащих;332;;124;207;;;1;;2;332;;
9;на обучение по программам среднего профессионального образования –       программы подготовки специалистов среднего звена;171;;7;164;;;;;2;170;1;
10;в связи с переходом на семейное образование и самообразование;287;77;172;35;;1;;2;2;281;4;2
11;по болезни;;;;;;;;;;;;
12;отчислено лиц, не прошедших итоговой аттестации, получивших на       итоговой аттестации неудовлетворительные результаты или освоивших       часть образовательной программы со справкой об обучении       или о периоде обучения;298;;293;4;;;;1;14;298;;
13;выбыло по другим причинам;204;19;56;105;;;;24;129;110;94;
