;;
;;
;;
;;
;;
1;2;3
№ строки;Наименование показателей;Код: да – 1, нет – 0
1;Лицензия на осуществление образовательной деятельности;336
2;Свидетельство о государственной аккредитации образовательной деятельности по образовательным программам начального общего, основного общего, среднего общего образования;331
3;Коллегиальные органы управления;334
4;в том числе:       общее собрание;306
5;педагогический совет;329
6;попечительский совет;26
7;управляющий совет;185
8;наблюдательный совет;4
9;другие;43
10;Советы обучающихся;290
11;Советы родителей;283
12;Профессиональные союзы работников;326
13;из строки 03 с участием общественности (родителей, работодателей);227
14;Организация реализует профориентационный минимум;299
15;в том числе:       на базовом уровне;190
16;на основном уровне;120
17;на продвинутом уровне;13
