;;
;;
;;
;;
;;
1;2;3
№ строки;Наименование показателей;Код: да – 1, нет – 0
1;Лицензия на осуществление образовательной деятельности;1030
2;Свидетельство о государственной аккредитации образовательной деятельности по образовательным программам начального общего, основного общего, среднего общего образования;1010
3;Коллегиальные органы управления;997
4;в том числе:       общее собрание;227
5;педагогический совет;962
6;попечительский совет;51
7;управляющий совет;604
8;наблюдательный совет;112
9;другие;770
10;Советы обучающихся;875
11;Советы родителей;889
12;Профессиональные союзы работников;754
13;из строки 03 с участием общественности (родителей, работодателей);636
14;Организация реализует профориентационный минимум;837
15;в том числе:       на базовом уровне;485
16;на основном уровне;298
17;на продвинутом уровне;85
