;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22
№ строки;Наименование показателя;"Всего сумма граф 4 - 16; сумма граф 20-22";В том числе 1-й класс;В том числе 2-й класс;В том числе 3-й класс;В том числе 4-й класс;В том числе 5-й класс;В том числе 6-й класс;В том числе 7-й класс;В том числе 8-й класс;В том числе 9-й класс;В том числе 10-й класс;В том числе 11-й класс (выпускной);В том числе 11-й класс;В том числе 12-й класс;Из графы 3 инвалиды;Из графы 3 дети-инвалиды;Из графы 3 с умственной отсталостью;В том числе обучаются (из гр.3) очно;В том числе обучаются (из гр.3) очно-заочно;В том числе обучаются (из гр.3) заочно
1;Число классов, имеющих в своем составе лиц с ограниченными возможностями здоровья, ед.;8113;1125;1235;1312;1301;708;689;551;494;592;47;59;;;;;;;;
2;В них обучающихся (всего), чел.;176803;25451;28358;29289;28802;14934;14589;11141;9808;12124;1036;1271;;;;;;;;
3;из них (из строки 02) лица с ограниченными       возможностями здоровья:          глухие;6;1;1;;;1;3;;;;;;;;;6;1;6;;
4;слабослышащие;174;15;22;17;21;16;17;23;15;18;6;4;;;;131;;174;;
5;позднооглохшие;;;;;;;;;;;;;;;;;;;;
6;слепые;2;;;1;;;;;1;;;;;;;2;;2;;
7;слабовидящие;337;39;56;42;57;23;28;36;32;13;4;7;;;;140;;337;;
8;с тяжелыми нарушениями речи;5802;1317;1678;1363;1179;156;86;18;4;1;;;;;;148;;5802;;
9;с нарушением опорно-двигательного аппарата;1060;109;106;114;144;68;93;121;110;123;31;41;;;8;905;8;1060;;
10;с задержкой психического развития;6365;1038;1258;1532;1500;430;397;128;42;40;;;;;;174;2;6365;;
11;с умственной отсталостью (интеллектуальными          нарушениями);3644;182;230;383;404;459;451;470;475;588;2;;;;22;963;;3635;9;
12;с расстройствами аутистического спектра;320;87;44;38;45;20;31;18;16;16;1;4;;;4;264;11;320;;
13;со сложными дефектами;89;6;7;8;11;12;15;15;10;5;;;;;1;76;56;89;;
14;с иными ограниченными возможностями          здоровья;160;1;5;8;12;7;5;11;18;82;6;5;;;4;121;;160;;
