;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14
№ строки;Наименование показателя;"Всего  (сумма граф 4–10;  сумма граф  12-14)";Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы начального общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы основного общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы начального общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы основного общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья образование обучающихся с умственной отсталостью (интеллектуаль- ными нарушениями);Из графы 3 – лица в возрасте 18 лет и старше;Из графы 3 - обучались очно;Из графы 3 - обучались очно-заочно;Из графы 3 - обучались заочно
1;Выбыло обучающихся – всего (сумма строк 02, 05, 08–13);12431;4847;5687;1217;207;228;6;239;354;11958;432;41
2;в том числе:       продолжили обучение в данной организации в классах  иной формы       обучения или иной направленности;521;217;251;17;9;17;;10;;520;1;
3;из них (из строки 02):             в классах с иной формой обучения в пределах одной и той же             направленности;74;30;41;;3;;;;;73;1;
4;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в классы для обучающихся             с ограниченными возможностями здоровья;89;35;50;4;;;;;;88;1;
5;выбыли в другие организации для продолжения обучения по       программам начального, основного или среднего общего образования;10748;4594;5034;546;186;195;;193;11;10692;56;
6;из них (из строки 05) выбыло:             в классы иной формы обучения в пределах одной и той же             направленности;391;151;179;9;4;8;;40;;391;;
7;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в организации (классы) для обучающихся             с ограниченными возможностями здоровья;171;69;94;8;;;;;;171;;
8;на обучение по программам среднего профессионального образования –       программам подготовки квалифицированных рабочих, служащих;232;;96;131;;5;;;8;227;5;
9;на обучение по программам среднего профессионального образования –       программы подготовки специалистов среднего звена;198;;29;166;;;3;;31;166;28;4
10;в связи с переходом на семейное образование и самообразование;110;18;77;12;1;1;;1;;110;;
11;по болезни;4;;;2;;;;2;1;3;1;
12;отчислено лиц, не прошедших итоговой аттестации, получивших на       итоговой аттестации неудовлетворительные результаты или освоивших       часть образовательной программы со справкой об обучении       или о периоде обучения;123;;103;14;;3;3;;5;117;4;2
13;выбыло по другим причинам;495;18;97;329;11;7;;33;298;123;337;35
