;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22
№ строки;Наименование показателя;"Всего сумма граф 4 - 16; сумма граф 20-22";В том числе 1-й класс;В том числе 2-й класс;В том числе 3-й класс;В том числе 4-й класс;В том числе 5-й класс;В том числе 6-й класс;В том числе 7-й класс;В том числе 8-й класс;В том числе 9-й класс;В том числе 10-й класс;В том числе 11-й класс (выпускной);В том числе 11-й класс;В том числе 12-й класс;Из графы 3 инвалиды;Из графы 3 дети-инвалиды;Из графы 3 с умственной отсталостью;В том числе обучаются (из гр.3) очно;В том числе обучаются (из гр.3) очно-заочно;В том числе обучаются (из гр.3) заочно
1;Число классов, имеющих в своем составе лиц с ограниченными возможностями здоровья, ед.;2905;242;328;368;397;314;306;311;279;257;50;53;;;;;;;;
2;В них обучающихся (всего), чел.;47433;3633;5385;6506;6755;5473;4923;5430;4236;4020;570;502;;;;;;;;
3;из них (из строки 02) лица с ограниченными       возможностями здоровья:          глухие;47;5;5;3;17;3;3;4;4;3;;;;;5;36;;47;;
4;слабослышащие;57;2;5;7;10;12;4;6;5;4;1;1;;;;49;;51;6;
5;позднооглохшие;11;2;2;;1;;1;2;3;;;;;;;10;;11;;
6;слепые;1;;;;;;1;;;;;;;;;1;;1;;
7;слабовидящие;109;4;8;13;13;9;14;14;14;13;4;3;;;;97;;106;3;
8;с тяжелыми нарушениями речи;92;13;14;14;13;11;6;5;4;10;2;;;;;63;;87;4;1
9;с нарушением опорно-двигательного аппарата;544;29;66;64;87;53;58;47;43;68;13;16;;;2;461;1;516;22;6
10;с задержкой психического развития;706;70;81;108;111;71;68;88;54;46;4;5;;;2;522;5;671;25;10
11;с умственной отсталостью (интеллектуальными          нарушениями);457;28;48;49;58;60;74;56;44;38;1;1;;;;391;;439;15;3
12;с расстройствами аутистического спектра;163;30;26;26;17;15;16;15;11;7;;;;;1;135;1;152;10;1
13;со сложными дефектами;23;1;5;1;6;2;3;1;3;1;;;;;;17;;23;;
14;с иными ограниченными возможностями          здоровья;1533;108;137;170;183;167;153;172;193;165;41;44;;;65;1270;5;1476;19;38
