;;
;;
;;
;;
;;
1;2;3
№ строки;Наименование показателей;Код: да – 1, нет – 0
1;Лицензия на осуществление образовательной деятельности;1390
2;Свидетельство о государственной аккредитации образовательной деятельности по образовательным программам начального общего, основного общего, среднего общего образования;1341
3;Коллегиальные органы управления;1351
4;в том числе:       общее собрание;1094
5;педагогический совет;1335
6;попечительский совет;446
7;управляющий совет;441
8;наблюдательный совет;163
9;другие;204
10;Советы обучающихся;1057
11;Советы родителей;1196
12;Профессиональные союзы работников;1211
13;из строки 03 с участием общественности (родителей, работодателей);778
14;Организация реализует профориентационный минимум;1059
15;в том числе:       на базовом уровне;884
16;на основном уровне;219
17;на продвинутом уровне;72
