;;
;;
;;
;;
;;
1;2;3
№ строки;Наименование показателей;Код: да – 1, нет – 0
1;Лицензия на осуществление образовательной деятельности;289
2;Свидетельство о государственной аккредитации образовательной деятельности по образовательным программам начального общего, основного общего, среднего общего образования;274
3;Коллегиальные органы управления;289
4;в том числе:       общее собрание;289
5;педагогический совет;289
6;попечительский совет;33
7;управляющий совет;40
8;наблюдательный совет;41
9;другие;86
10;Советы обучающихся;209
11;Советы родителей;219
12;Профессиональные союзы работников;172
13;из строки 03 с участием общественности (родителей, работодателей);149
14;Организация реализует профориентационный минимум;253
15;в том числе:       на базовом уровне;168
16;на основном уровне;65
17;на продвинутом уровне;20
