;;
;;
;;
;;
;;
1;2;3
№ строки;Наименование показателей;Код: да – 1, нет – 0
1;Лицензия на осуществление образовательной деятельности;398
2;Свидетельство о государственной аккредитации образовательной деятельности по образовательным программам начального общего, основного общего, среднего общего образования;387
3;Коллегиальные органы управления;387
4;в том числе:       общее собрание;301
5;педагогический совет;380
6;попечительский совет;43
7;управляющий совет;74
8;наблюдательный совет;5
9;другие;111
10;Советы обучающихся;236
11;Советы родителей;299
12;Профессиональные союзы работников;339
13;из строки 03 с участием общественности (родителей, работодателей);247
14;Организация реализует профориентационный минимум;323
15;в том числе:       на базовом уровне;238
16;на основном уровне;90
17;на продвинутом уровне;21
