;;
;;
;;
;;
;;
1;2;3
№ строки;Наименование показателей;Код: да – 1, нет – 0
1;Лицензия на осуществление образовательной деятельности;907
2;Свидетельство о государственной аккредитации образовательной деятельности по образовательным программам начального общего, основного общего, среднего общего образования;901
3;Коллегиальные органы управления;857
4;в том числе:       общее собрание;745
5;педагогический совет;841
6;попечительский совет;82
7;управляющий совет;314
8;наблюдательный совет;258
9;другие;155
10;Советы обучающихся;790
11;Советы родителей;810
12;Профессиональные союзы работников;811
13;из строки 03 с участием общественности (родителей, работодателей);683
14;Организация реализует профориентационный минимум;812
15;в том числе:       на базовом уровне;583
16;на основном уровне;231
17;на продвинутом уровне;11
