;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14
№ строки;Наименование показателя;"Всего  (сумма граф 4–10;  сумма граф  12-14)";Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы начального общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы основного общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы начального общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы основного общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья образование обучающихся с умственной отсталостью (интеллектуаль- ными нарушениями);Из графы 3 – лица в возрасте 18 лет и старше;Из графы 3 - обучались очно;Из графы 3 - обучались очно-заочно;Из графы 3 - обучались заочно
1;Выбыло обучающихся – всего (сумма строк 02, 05, 08–13);16672;6748;7948;1773;54;65;3;81;307;16570;101;1
2;в том числе:       продолжили обучение в данной организации в классах  иной формы       обучения или иной направленности;164;65;76;3;10;6;;4;;162;2;
3;из них (из строки 02):             в классах с иной формой обучения в пределах одной и той же             направленности;34;15;19;;;;;;;34;;
4;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в классы для обучающихся             с ограниченными возможностями здоровья;26;10;16;;;;;;;25;1;
5;выбыли в другие организации для продолжения обучения по       программам начального, основного или среднего общего образования;14841;6600;7689;399;43;46;;64;;14841;;
6;из них (из строки 05) выбыло:             в классы иной формы обучения в пределах одной и той же             направленности;211;82;96;8;3;6;;16;;211;;
7;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в организации (классы) для обучающихся             с ограниченными возможностями здоровья;115;45;68;2;;;;;;115;;
8;на обучение по программам среднего профессионального образования –       программам подготовки квалифицированных рабочих, служащих;403;;7;381;;12;3;;1;403;;
9;на обучение по программам среднего профессионального образования –       программы подготовки специалистов среднего звена;567;;;567;;;;;3;559;8;
10;в связи с переходом на семейное образование и самообразование;319;73;147;95;1;;;3;7;317;1;1
11;по болезни;1;;;;;;;1;1;1;;
12;отчислено лиц, не прошедших итоговой аттестации, получивших на       итоговой аттестации неудовлетворительные результаты или освоивших       часть образовательной программы со справкой об обучении       или о периоде обучения;14;;1;13;;;;;1;13;1;
13;выбыло по другим причинам;363;10;28;315;;1;;9;294;274;89;
