;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14
№ строки;Наименование показателя;"Всего  (сумма граф 4–10;  сумма граф  12-14)";Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы начального общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы основного общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы начального общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы основного общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья образование обучающихся с умственной отсталостью (интеллектуаль- ными нарушениями);Из графы 3 – лица в возрасте 18 лет и старше;Из графы 3 - обучались очно;Из графы 3 - обучались очно-заочно;Из графы 3 - обучались заочно
1;Выбыло обучающихся – всего (сумма строк 02, 05, 08–13);8519;2172;4456;1661;59;77;6;88;277;7957;477;85
2;в том числе:       продолжили обучение в данной организации в классах  иной формы       обучения или иной направленности;42;1;31;9;1;;;;;42;;
3;из них (из строки 02):             в классах с иной формой обучения в пределах одной и той же             направленности;28;1;25;1;1;;;;;28;;
4;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в классы для обучающихся             с ограниченными возможностями здоровья;;;;;;;;;;;;
5;выбыли в другие организации для продолжения обучения по       программам начального, основного или среднего общего образования;6357;2108;3532;545;57;50;;65;97;6175;164;18
6;из них (из строки 05) выбыло:             в классы иной формы обучения в пределах одной и той же             направленности;365;147;184;20;9;4;;1;1;363;2;
7;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в организации (классы) для обучающихся             с ограниченными возможностями здоровья;6;3;3;;;;;;;6;;
8;на обучение по программам среднего профессионального образования –       программам подготовки квалифицированных рабочих, служащих;954;;449;491;;13;1;;21;871;83;
9;на обучение по программам среднего профессионального образования –       программы подготовки специалистов среднего звена;460;;172;281;;7;;;3;423;29;8
10;в связи с переходом на семейное образование и самообразование;196;31;136;29;;;;;;191;;5
11;по болезни;;;;;;;;;;;;
12;отчислено лиц, не прошедших итоговой аттестации, получивших на       итоговой аттестации неудовлетворительные результаты или освоивших       часть образовательной программы со справкой об обучении       или о периоде обучения;26;1;17;8;;;;;3;16;8;2
13;выбыло по другим причинам;484;31;119;298;1;7;5;23;153;239;193;52
