;;
;;
;;
;;
;;
1;2;3
№ строки;Наименование показателей;Код: да – 1, нет – 0
1;Лицензия на осуществление образовательной деятельности;319
2;Свидетельство о государственной аккредитации образовательной деятельности по образовательным программам начального общего, основного общего, среднего общего образования;310
3;Коллегиальные органы управления;312
4;в том числе:       общее собрание;261
5;педагогический совет;310
6;попечительский совет;24
7;управляющий совет;229
8;наблюдательный совет;98
9;другие;33
10;Советы обучающихся;236
11;Советы родителей;193
12;Профессиональные союзы работников;235
13;из строки 03 с участием общественности (родителей, работодателей);184
14;Организация реализует профориентационный минимум;249
15;в том числе:       на базовом уровне;145
16;на основном уровне;105
17;на продвинутом уровне;19
