;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22
№ строки;Наименование показателя;"Всего сумма граф 4 - 16; сумма граф 20-22";В том числе 1-й класс;В том числе 2-й класс;В том числе 3-й класс;В том числе 4-й класс;В том числе 5-й класс;В том числе 6-й класс;В том числе 7-й класс;В том числе 8-й класс;В том числе 9-й класс;В том числе 10-й класс;В том числе 11-й класс (выпускной);В том числе 11-й класс;В том числе 12-й класс;Из графы 3 инвалиды;Из графы 3 дети-инвалиды;Из графы 3 с умственной отсталостью;В том числе обучаются (из гр.3) очно;В том числе обучаются (из гр.3) очно-заочно;В том числе обучаются (из гр.3) заочно
1;Число классов, имеющих в своем составе лиц с ограниченными возможностями здоровья, ед.;2593;188;266;328;342;284;306;298;292;250;25;13;;1;;;;;;
2;В них обучающихся (всего), чел.;53386;3790;5585;6925;7299;5971;6144;5921;5987;5075;458;230;;1;;;;;;
3;из них (из строки 02) лица с ограниченными       возможностями здоровья:          глухие;3;;;;;1;2;;;;;;;;;3;;3;;
4;слабослышащие;41;3;4;8;4;;8;5;3;5;1;;;;;31;3;41;;
5;позднооглохшие;1;1;;;;;;;;;;;;;;1;;1;;
6;слепые;5;;1;;;2;;1;1;;;;;;;4;1;5;;
7;слабовидящие;64;6;10;10;8;1;5;6;6;6;4;2;;;;32;2;64;;
8;с тяжелыми нарушениями речи;135;22;32;22;23;10;8;10;3;5;;;;;;17;;135;;
9;с нарушением опорно-двигательного аппарата;278;25;32;35;41;29;22;32;25;25;9;3;;;4;251;21;278;;
10;с задержкой психического развития;1341;72;112;176;205;141;161;164;160;150;;;;;1;84;2;1339;1;1
11;с умственной отсталостью (интеллектуальными          нарушениями);1661;84;143;211;180;219;199;232;203;167;13;9;;1;11;493;;1657;;4
12;с расстройствами аутистического спектра;119;24;17;18;16;11;7;9;9;6;1;1;;;2;82;11;118;;1
13;со сложными дефектами;2;1;1;;;;;;;;;;;;;1;2;2;;
14;с иными ограниченными возможностями          здоровья;5;2;;1;;1;1;;;;;;;;;4;2;5;;
