;;
;;
;;
;;
;;
1;2;3
№ строки;Наименование показателей;Код: да – 1, нет – 0
1;Лицензия на осуществление образовательной деятельности;153
2;Свидетельство о государственной аккредитации образовательной деятельности по образовательным программам начального общего, основного общего, среднего общего образования;147
3;Коллегиальные органы управления;153
4;в том числе:       общее собрание;116
5;педагогический совет;149
6;попечительский совет;4
7;управляющий совет;48
8;наблюдательный совет;49
9;другие;41
10;Советы обучающихся;121
11;Советы родителей;93
12;Профессиональные союзы работников;41
13;из строки 03 с участием общественности (родителей, работодателей);75
14;Организация реализует профориентационный минимум;135
15;в том числе:       на базовом уровне;50
16;на основном уровне;64
17;на продвинутом уровне;32
