;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53
№ строки;Наименование показателя;Всего (сумма граф 4-47);Программы начального общего образования с нормативным сроком обучения 4 года 1-й класс;Программы начального общего образования с нормативным сроком обучения 4 года 2-й класс;Программы начального общего образования с нормативным сроком обучения 4 года 3-й класс;Программы начального общего образования с нормативным сроком обучения 4 года 4-й класс;Программы начального общего образования с нормативным сроком обучения 5–6 лет 1-й класс;Программы начального общего образования с нормативным сроком обучения 5–6 лет 1-й класс первого года обучения;Программы начального общего образования с нормативным сроком обучения 5–6 лет 1-й класс второго года обучения;Программы начального общего образования с нормативным сроком обучения 5–6 лет 2-й класс;Программы начального общего образования с нормативным сроком обучения 5–6 лет 2-й класс первого года обучения;Программы начального общего образования с нормативным сроком обучения 5–6 лет 2-й класс второго года обучения;Программы начального общего образования с нормативным сроком обучения 5–6 лет 3-й класс;Программы начального общего образования с нормативным сроком обучения 5–6 лет 3-й класс первого года обучения;Программы начального общего образования с нормативным сроком обучения 5–6 лет 3-й класс второго года обучения;Программы начального общего образования с нормативным сроком обучения 5–6 лет 4-й класс;Программы начального общего образования с нормативным сроком обучения 5–6 лет 4-й класс первого года обучения;Программы начального общего образования с нормативным сроком обучения 5–6 лет 4-й класс второго года обучения;Программы основного общего образования с нормативным сроком освоения 5 лет 5-й класс;Программы основного общего образования с нормативным сроком освоения 5 лет 6-й класс;Программы основного общего образования с нормативным сроком освоения 5 лет 7-й класс;Программы основного общего образования с нормативным сроком освоения 5 лет 8-й класс;Программы основного общего образования с нормативным сроком освоения 5 лет 9-й класс;Программы основного общего образования с нормативным сроком освоения 6 лет 5-й класс;Программы основного общего образования с нормативным сроком освоения 6 лет 5-й класс первого года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 5-й класс второго года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 6-й класс;Программы основного общего образования с нормативным сроком освоения 6 лет 6-й класс первого года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 6-й класс второго года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 7-й класс;Программы основного общего образования с нормативным сроком освоения 6 лет 7-й класс первого года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 7-й класс второго года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 8-й класс;Программы основного общего образования с нормативным сроком освоения 6 лет 8-й класс первого года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 8-й класс второго года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 9-й класс;Программы основного общего образования с нормативным сроком освоения 6 лет 9-й класс первого года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 9-й класс второго года обучения;Программы среднего общего образования с нормативным сроком освоения 2 года 10-й класс;Программы среднего общего образования с нормативным сроком освоения 2 года 11-й класс;Программы среднего общего образования с нормативным сроком освоения 3 года 10-й класс;Программы среднего общего образования с нормативным сроком освоения 3 года 10-й класс первого года обучения;Программы среднего общего образования с нормативным сроком освоения 3 года 10-й класс второго года обучения;Программы среднего общего образования с нормативным сроком освоения 3 года 11-й класс;Программы среднего общего образования с нормативным сроком освоения 3 года 11-й класс первого года обучения;Программы среднего общего образования с нормативным сроком освоения 3 года 11-й класс второго года обучения;Из общей численности обучающихся (из гр. 3): лица с ограниче- нными возможно- стями здоровья;Из общей численности обучающихся (из гр. 3): из них: инвалиды;Из общей численности обучающихся (из гр. 3): из них: дети-инвалиды;Из общей численности обучающихся (из гр. 3): инвалиды  (кроме учтенных в гр. 49);Из общей численности обучающихся (из гр. 3): дети-инвалиды  (кроме учтенных в гр. 50);Из общей численности обучающихся (из гр. 3): с умствен-ной отста-лостью
1;Число классов для глухих, ед.;11;;;;;1;;;1;;;1;;;;1;1;;;;;;1;;;2;;;;;;1;;;;1;1;;;;;;;;;;;;;;
2;В них обучающихся, чел.;65;;;;;3;;;5;;;8;;;;4;6;;;;;;8;;;12;;;;;;9;;;;6;4;;;;;;;;;65;3;62;;;
3;Число классов для слабослышащих и позднооглохших, ед.;60;;;;1;4;1;2;2;;;6;;;3;1;4;;;1;1;1;4;;;5;;;5;;;5;;;1;3;8;;2;;;;;;;;;;;;
4;В них обучающихся, чел.;316;;;;1;29;6;9;12;;;28;;;18;7;32;;;7;7;5;23;;;29;;;27;;;21;;;5;10;30;;10;;;;;;;316;12;296;;;
5;Число классов для слепых, ед.;21;;;;;1;;;1;;;5;;;;1;1;;;;;;3;;;1;;;1;;;1;;;;1;2;2;1;;;;;;;;;;;;
6;В них обучающихся, чел:       cлепых;121;;;;;5;;;11;;;16;;;;12;9;;;;;;15;;;1;;;14;;;6;;;;11;8;7;6;;;;;;;121;6;115;;;
7;слабовидящих и поздноослепших;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1;1;;;;
8;Число классов для слабовидящих и поздноослепших, ед.;31;2;1;2;4;1;2;;1;;;1;;;;1;1;;;;;;2;;;1;;;3;;;2;;;1;1;3;1;1;;;;;;;;;;;;
9;В них обучающихся, чел:       слабовидящих и поздноослепших;164;15;14;14;29;6;1;;9;;;9;;;;11;9;;;;;;2;;;9;;;3;;;11;;;1;7;12;1;1;;;;;;;164;2;101;;;
