;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14
№ строки;Наименование показателя;"Всего  (сумма граф 4–10;  сумма граф  12-14)";Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы начального общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы основного общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы начального общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы основного общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья образование обучающихся с умственной отсталостью (интеллектуаль- ными нарушениями);Из графы 3 – лица в возрасте 18 лет и старше;Из графы 3 - обучались очно;Из графы 3 - обучались очно-заочно;Из графы 3 - обучались заочно
1;Выбыло обучающихся – всего (сумма строк 02, 05, 08–13);29484;11087;15057;2864;216;141;27;92;605;29271;204;9
2;в том числе:       продолжили обучение в данной организации в классах  иной формы       обучения или иной направленности;1756;852;762;130;7;5;;;;1756;;
3;из них (из строки 02):             в классах с иной формой обучения в пределах одной и той же             направленности;27;17;10;;;;;;;27;;
4;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в классы для обучающихся             с ограниченными возможностями здоровья;34;25;9;;;;;;;34;;
5;выбыли в другие организации для продолжения обучения по       программам начального, основного или среднего общего образования;24591;9991;13063;1129;206;120;4;78;189;24591;;
6;из них (из строки 05) выбыло:             в классы иной формы обучения в пределах одной и той же             направленности;1080;472;473;55;25;40;1;14;;1080;;
7;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в организации (классы) для обучающихся             с ограниченными возможностями здоровья;79;34;44;1;;;;;;79;;
8;на обучение по программам среднего профессионального образования –       программам подготовки квалифицированных рабочих, служащих;979;;287;673;;8;11;;27;939;40;
9;на обучение по программам среднего профессионального образования –       программы подготовки специалистов среднего звена;729;;281;445;;;3;;12;722;7;
10;в связи с переходом на семейное образование и самообразование;709;213;406;86;1;3;;;7;699;1;9
11;по болезни;15;3;1;1;;1;6;3;6;15;;
12;отчислено лиц, не прошедших итоговой аттестации, получивших на       итоговой аттестации неудовлетворительные результаты или освоивших       часть образовательной программы со справкой об обучении       или о периоде обучения;234;;216;18;;;;;6;230;4;
13;выбыло по другим причинам;471;28;41;382;2;4;3;11;358;319;152;
