;;
;;
;;
;;
;;
1;2;3
№ строки;Наименование показателей;Код: да – 1, нет – 0
1;Лицензия на осуществление образовательной деятельности;228
2;Свидетельство о государственной аккредитации образовательной деятельности по образовательным программам начального общего, основного общего, среднего общего образования;225
3;Коллегиальные органы управления;228
4;в том числе:       общее собрание;227
5;педагогический совет;228
6;попечительский совет;40
7;управляющий совет;211
8;наблюдательный совет;10
9;другие;46
10;Советы обучающихся;221
11;Советы родителей;201
12;Профессиональные союзы работников;226
13;из строки 03 с участием общественности (родителей, работодателей);220
14;Организация реализует профориентационный минимум;220
15;в том числе:       на базовом уровне;122
16;на основном уровне;58
17;на продвинутом уровне;40
