;;
;;
;;
;;
;;
1;2;3
№ строки;Наименование показателей;Код: да – 1, нет – 0
1;Лицензия на осуществление образовательной деятельности;181
2;Свидетельство о государственной аккредитации образовательной деятельности по образовательным программам начального общего, основного общего, среднего общего образования;167
3;Коллегиальные органы управления;168
4;в том числе:       общее собрание;147
5;педагогический совет;163
6;попечительский совет;26
7;управляющий совет;49
8;наблюдательный совет;136
9;другие;35
10;Советы обучающихся;148
11;Советы родителей;127
12;Профессиональные союзы работников;122
13;из строки 03 с участием общественности (родителей, работодателей);100
14;Организация реализует профориентационный минимум;171
15;в том числе:       на базовом уровне;52
16;на основном уровне;56
17;на продвинутом уровне;63
