;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
1;2;3;4;5;6;7;8;9
№ строки;Наименование образовательных программ;Численность обучающихся по образовательным программам - всего, чел;Сетевая форма реализации образовательных программ численность обучающихся (из графы 3) по программам, реализуемым с использованием сетевой формы - всего, чел;Сетевая форма реализации образовательных программ число органи-заций, с которыми заключены дого-воры на реализа-цию образователь-ных программ с использованием сетевой формы, единиц , ед;Электронное обучение численность обучающихся (из графы 3) с применением электронного обучения , чел;Электронное обучение в том числе (из графы 6) с применением исключительно электронного обучения, чел;Дистанционные образовательные технологии численность обучающихся (из графы 3) с применением дистанционных образовательных технологий, чел;Дистанционные образовательные технологии в том числе (из графы 8) с применением исключительно дистанционных образовательных технологий, чел
1;Всего по образовательным программам (сумма строк 02, 12, 22, 32);139293;1677;;1062;;27;7
2;Образовательные программы начального общего образования;55499;100;8;371;;9;
3;из них адаптированные;2649;10;4;;;7;
4;в том числе:           для глухих;13;;;;;;
5;для слабослышащих и позднооглохших;47;;;;;;
6;для слепых;7;;;;;2;
7;для слабовидящих;95;;;;;3;
8;с тяжелыми нарушениями речи;738;5;;;;;
9;с нарушениями опорно-двигательного аппарата;107;;;;;;
10;с задержкой психического развития;1484;4;3;;;2;
11;с расстройствами аутистического спектра;158;1;1;;;;
12;Образовательные программы основного общего образования;70544;1220;21;567;;10;3
13;из них адаптированные;3320;69;4;;;3;
14;в том числе:           для глухих;15;;;;;;
15;для слабослышащих и позднооглохших;50;1;1;;;;
16;для слепых;3;;;;;;
17;для слабовидящих;97;;;;;3;
18;с тяжелыми нарушениями речи;95;;;;;;
19;с нарушениями опорно-двигательного аппарата;83;;;;;;
20;с задержкой психического развития;2924;68;3;;;;
21;с расстройствами аутистического спектра;53;;;;;;
22;Образовательные программы среднего общего образования;10783;284;12;118;;5;4
23;из них адаптированные;8;;;;;;
24;в том числе:           для глухих;;;;;;;
25;для слабослышащих и позднооглохших;;;;;;;
26;для слепых;;;;;;;
27;для слабовидящих;2;;;;;;
28;с тяжелыми нарушениями речи;;;;;;;
29;с нарушениями опорно-двигательного аппарата;4;;;;;;
30;с задержкой психического развития;1;;;;;;
31;с расстройствами аутистического спектра;1;;;;;;
32;Программы образования обучающихся с умственной отсталостью (интеллектуальными нарушениями);2467;73;5;6;;3;
33;Справочно. Код по ОКЕИ: человек – 792  Из общей численности обучающихся (из графы 3 подраздела 1.3.) – лица, имеющие кохлеарные импланты и обучающиеся по программам:    начального общего образования (из строки 02);22;;;;;;
34;из них в отдельных классах для обучающихся с ограниченными       возможностями здоровья;14;;;;;;
35;основного общего образования (из строки 12);23;;;;;;
36;из них в отдельных классах для обучающихся с ограниченными       возможностями здоровья;13;;;;;;
37;среднего общего образования (из строки 22);;;;;;;
38;из них в отдельных классах для обучающихся с ограниченными       возможностями здоровья;;;;;;;
39;образования обучающихся с умственной отсталостью    (интеллектуальными нарушениями) (из строки 32);54;;;;;;
40;из них в отдельных классах для обучающихся с ограниченными       возможностями здоровья;35;;;;;;
