;;
;;
;;
;;
;;
1;2;3
№ строки;Наименование показателей;Код: да – 1, нет – 0
1;Лицензия на осуществление образовательной деятельности;485
2;Свидетельство о государственной аккредитации образовательной деятельности по образовательным программам начального общего, основного общего, среднего общего образования;470
3;Коллегиальные органы управления;472
4;в том числе:       общее собрание;383
5;педагогический совет;463
6;попечительский совет;115
7;управляющий совет;151
8;наблюдательный совет;9
9;другие;111
10;Советы обучающихся;374
11;Советы родителей;349
12;Профессиональные союзы работников;396
13;из строки 03 с участием общественности (родителей, работодателей);323
14;Организация реализует профориентационный минимум;418
15;в том числе:       на базовом уровне;208
16;на основном уровне;23
17;на продвинутом уровне;192
