;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22
№ строки;Наименование показателя;"Всего сумма граф 4 - 16; сумма граф 20-22";В том числе 1-й класс;В том числе 2-й класс;В том числе 3-й класс;В том числе 4-й класс;В том числе 5-й класс;В том числе 6-й класс;В том числе 7-й класс;В том числе 8-й класс;В том числе 9-й класс;В том числе 10-й класс;В том числе 11-й класс (выпускной);В том числе 11-й класс;В том числе 12-й класс;Из графы 3 инвалиды;Из графы 3 дети-инвалиды;Из графы 3 с умственной отсталостью;В том числе обучаются (из гр.3) очно;В том числе обучаются (из гр.3) очно-заочно;В том числе обучаются (из гр.3) заочно
1;Число классов, имеющих в своем составе лиц с ограниченными возможностями здоровья, ед.;1057;107;122;163;182;84;87;98;101;97;8;8;;;;;;;;
2;В них обучающихся (всего), чел.;20891;2337;2616;3409;4062;1585;1573;1704;1708;1667;130;100;;;;;;;;
3;из них (из строки 02) лица с ограниченными       возможностями здоровья:          глухие;;;;;;;;;;;;;;;;;;;;
4;слабослышащие;10;;;2;3;2;;2;;1;;;;;;6;;10;;
5;позднооглохшие;2;1;1;;;;;;;;;;;;;2;;2;;
6;слепые;1;;;;;;;1;;;;;;;1;;;1;;
7;слабовидящие;34;1;5;1;6;5;3;5;2;3;1;2;;;;24;1;34;;
8;с тяжелыми нарушениями речи;40;8;3;8;8;2;2;2;1;6;;;;;;15;1;39;;1
9;с нарушением опорно-двигательного аппарата;127;9;15;15;21;7;11;14;14;11;8;2;;;3;115;;122;3;2
10;с задержкой психического развития;552;99;98;149;166;18;5;4;9;4;;;;;;27;2;552;;
11;с умственной отсталостью (интеллектуальными          нарушениями);643;22;39;65;89;70;74;96;96;92;;;;;8;221;;632;7;4
12;с расстройствами аутистического спектра;62;14;9;5;9;8;4;4;6;2;;1;;;1;47;3;61;1;
13;со сложными дефектами;8;3;;;;;1;2;1;1;;;;;1;7;5;8;;
14;с иными ограниченными возможностями          здоровья;55;5;8;7;1;4;10;1;4;9;1;5;;;;54;;55;;
