;;
;;
;;
;;
;;
1;2;3
№ строки;Наименование показателей;Код: да – 1, нет – 0
1;Лицензия на осуществление образовательной деятельности;251
2;Свидетельство о государственной аккредитации образовательной деятельности по образовательным программам начального общего, основного общего, среднего общего образования;248
3;Коллегиальные органы управления;247
4;в том числе:       общее собрание;216
5;педагогический совет;245
6;попечительский совет;31
7;управляющий совет;56
8;наблюдательный совет;5
9;другие;41
10;Советы обучающихся;202
11;Советы родителей;216
12;Профессиональные союзы работников;238
13;из строки 03 с участием общественности (родителей, работодателей);164
14;Организация реализует профориентационный минимум;226
15;в том числе:       на базовом уровне;80
16;на основном уровне;141
17;на продвинутом уровне;9
