;;
;;
;;
;;
;;
1;2;3
№ строки;Наименование показателей;Код: да – 1, нет – 0
1;Лицензия на осуществление образовательной деятельности;363
2;Свидетельство о государственной аккредитации образовательной деятельности по образовательным программам начального общего, основного общего, среднего общего образования;341
3;Коллегиальные органы управления;329
4;в том числе:       общее собрание;264
5;педагогический совет;321
6;попечительский совет;17
7;управляющий совет;34
8;наблюдательный совет;2
9;другие;84
10;Советы обучающихся;249
11;Советы родителей;261
12;Профессиональные союзы работников;213
13;из строки 03 с участием общественности (родителей, работодателей);166
14;Организация реализует профориентационный минимум;313
15;в том числе:       на базовом уровне;179
16;на основном уровне;48
17;на продвинутом уровне;102
