;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22
№ строки;Наименование показателя;"Всего сумма граф 4 - 16; сумма граф 20-22";В том числе 1-й класс;В том числе 2-й класс;В том числе 3-й класс;В том числе 4-й класс;В том числе 5-й класс;В том числе 6-й класс;В том числе 7-й класс;В том числе 8-й класс;В том числе 9-й класс;В том числе 10-й класс;В том числе 11-й класс (выпускной);В том числе 11-й класс;В том числе 12-й класс;Из графы 3 инвалиды;Из графы 3 дети-инвалиды;Из графы 3 с умственной отсталостью;В том числе обучаются (из гр.3) очно;В том числе обучаются (из гр.3) очно-заочно;В том числе обучаются (из гр.3) заочно
1;Число классов, имеющих в своем составе лиц с ограниченными возможностями здоровья, ед.;2243;194;232;231;271;233;256;239;257;263;38;27;;2;;;;;;
2;В них обучающихся (всего), чел.;43478;4138;4807;4673;5463;4346;4848;4441;4656;4984;627;493;;2;;;;;;
3;из них (из строки 02) лица с ограниченными       возможностями здоровья:          глухие;36;3;4;6;7;7;;2;5;2;;;;;;8;;35;1;
4;слабослышащие;61;4;5;6;6;3;11;4;8;10;1;3;;;2;35;;61;;
5;позднооглохшие;3;;;;;;;;;3;;;;;1;2;;3;;
6;слепые;9;;;1;2;1;1;;2;2;;;;;;9;;9;;
7;слабовидящие;115;15;8;12;18;11;7;10;11;15;5;3;;;2;51;;115;;
8;с тяжелыми нарушениями речи;699;129;134;94;118;47;52;45;44;35;;1;;;3;88;;699;;
9;с нарушением опорно-двигательного аппарата;240;24;23;22;24;27;28;29;24;27;4;8;;;9;189;3;239;1;
10;с задержкой психического развития;1789;83;130;166;229;197;228;214;279;262;1;;;;5;128;12;1780;8;1
11;с умственной отсталостью (интеллектуальными          нарушениями);528;26;34;41;62;53;66;76;65;76;17;10;;2;19;248;;525;;3
12;с расстройствами аутистического спектра;141;27;18;18;14;12;18;10;8;9;5;2;;;1;118;2;141;;
13;со сложными дефектами;5;1;;1;;2;;1;;;;;;;;5;;5;;
14;с иными ограниченными возможностями          здоровья;168;10;16;8;13;21;18;22;21;20;13;6;;;20;143;1;162;2;4
