;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14
№ строки;Наименование показателя;"Всего  (сумма граф 4–10;  сумма граф  12-14)";Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы начального общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы основного общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы начального общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы основного общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья образование обучающихся с умственной отсталостью (интеллектуаль- ными нарушениями);Из графы 3 – лица в возрасте 18 лет и старше;Из графы 3 - обучались очно;Из графы 3 - обучались очно-заочно;Из графы 3 - обучались заочно
1;Выбыло обучающихся – всего (сумма строк 02, 05, 08–13);8085;2590;4325;1001;31;73;3;62;365;7821;259;5
2;в том числе:       продолжили обучение в данной организации в классах  иной формы       обучения или иной направленности;210;66;128;16;;;;;;209;1;
3;из них (из строки 02):             в классах с иной формой обучения в пределах одной и той же             направленности;26;21;3;2;;;;;;26;;
4;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в классы для обучающихся             с ограниченными возможностями здоровья;28;21;7;;;;;;;28;;
5;выбыли в другие организации для продолжения обучения по       программам начального, основного или среднего общего образования;5880;2391;3068;315;31;49;;26;73;5861;19;
6;из них (из строки 05) выбыло:             в классы иной формы обучения в пределах одной и той же             направленности;180;80;71;1;2;11;;15;;180;;
7;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в организации (классы) для обучающихся             с ограниченными возможностями здоровья;11;9;2;;;;;;;11;;
8;на обучение по программам среднего профессионального образования –       программам подготовки квалифицированных рабочих, служащих;792;;555;217;;20;;;3;791;1;
9;на обучение по программам среднего профессионального образования –       программы подготовки специалистов среднего звена;518;;339;176;;;3;;5;516;2;
10;в связи с переходом на семейное образование и самообразование;69;24;35;10;;;;;2;64;;5
11;по болезни;;;;;;;;;;;;
12;отчислено лиц, не прошедших итоговой аттестации, получивших на       итоговой аттестации неудовлетворительные результаты или освоивших       часть образовательной программы со справкой об обучении       или о периоде обучения;27;;13;13;;;;1;18;27;;
13;выбыло по другим причинам;589;109;187;254;;4;;35;264;353;236;
