;;
;;
;;
;;
;;
1;2;3
№ строки;Наименование показателей;Код: да – 1, нет – 0
1;Лицензия на осуществление образовательной деятельности;1227
2;Свидетельство о государственной аккредитации образовательной деятельности по образовательным программам начального общего, основного общего, среднего общего образования;1186
3;Коллегиальные органы управления;1222
4;в том числе:       общее собрание;1027
5;педагогический совет;1216
6;попечительский совет;155
7;управляющий совет;727
8;наблюдательный совет;204
9;другие;234
10;Советы обучающихся;980
11;Советы родителей;938
12;Профессиональные союзы работников;1195
13;из строки 03 с участием общественности (родителей, работодателей);926
14;Организация реализует профориентационный минимум;1134
15;в том числе:       на базовом уровне;537
16;на основном уровне;556
17;на продвинутом уровне;68
