;;
;;
;;
;;
;;
1;2;3
№ строки;Наименование показателей;Код: да – 1, нет – 0
1;Лицензия на осуществление образовательной деятельности;203
2;Свидетельство о государственной аккредитации образовательной деятельности по образовательным программам начального общего, основного общего, среднего общего образования;197
3;Коллегиальные органы управления;200
4;в том числе:       общее собрание;136
5;педагогический совет;198
6;попечительский совет;26
7;управляющий совет;160
8;наблюдательный совет;1
9;другие;12
10;Советы обучающихся;167
11;Советы родителей;169
12;Профессиональные союзы работников;190
13;из строки 03 с участием общественности (родителей, работодателей);126
14;Организация реализует профориентационный минимум;174
15;в том числе:       на базовом уровне;120
16;на основном уровне;47
17;на продвинутом уровне;9
