;;
;;
;;
;;
;;
1;2;3
№ строки;Наименование показателей;Код: да – 1, нет – 0
1;Лицензия на осуществление образовательной деятельности;163
2;Свидетельство о государственной аккредитации образовательной деятельности по образовательным программам начального общего, основного общего, среднего общего образования;159
3;Коллегиальные органы управления;164
4;в том числе:       общее собрание;122
5;педагогический совет;159
6;попечительский совет;77
7;управляющий совет;73
8;наблюдательный совет;21
9;другие;20
10;Советы обучающихся;141
11;Советы родителей;150
12;Профессиональные союзы работников;136
13;из строки 03 с участием общественности (родителей, работодателей);75
14;Организация реализует профориентационный минимум;94
15;в том числе:       на базовом уровне;85
16;на основном уровне;27
17;на продвинутом уровне;8
