;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11
№ строки;Наименование показателя;Всего  (сумма гр. 4–10);Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы начального общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы основного общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы начального общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы основного общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья образование обучающихся с умственной отсталостью (интеллектуаль- ными нарушениями);Из гр. 3 – лица в возрасте 18 лет и старше
1;Выбыло обучающихся – всего (сумма стр. 02, 05, 08–13);1036085;412636;488868;108589;7611;6622;578;11259;8674
2;в том числе:       продолжили обучение в данной организации в классах  иной формы       обучения или иной направленности;21129;8606;8896;1982;666;611;5;363;46
3;из них (из строки 02):             в классах с иной формой обучения в пределах одной и той же             направленности;3737;1133;1638;496;185;178;;107;12
4;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в классы для обучающихся             с ограниченными возможностями здоровья;3266;2113;1102;51;;;;;
5;выбыли в другие организации для продолжения обучения по       программам начального, основного или среднего общего образования;912921;397437;442795;53051;6691;5158;221;7568;1842
6;из них (из строки 05) выбыло:             в классы иной формы обучения в пределах одной и той же             направленности;24475;9592;11645;1475;594;485;14;670;75
7;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в организации (классы) для обучающихся             с ограниченными возможностями здоровья;9295;6176;2940;182;;;;;
8;на обучение по программам среднего профессионального образования –       программам подготовки квалифицированных рабочих, служащих;32444;147;11619;20225;;250;206;;473
9;на обучение по программам среднего профессионального образования –       программы подготовки специалистов среднего звена;31766;;10032;21597;;96;44;;320
10;в связи с переходом на семейное образование и самообразование;7184;2012;3632;1349;25;46;9;111;116
11;по болезни;509;127;117;149;2;9;6;99;47
12;отчислено лиц, не прошедших итоговой аттестации, получивших на       итоговой аттестации неудовлетворительные результаты или освоивших       часть образовательной программы со справкой об обучении       или о периоде обучения;4088;18;2609;1372;2;25;10;52;559
13;выбыло по другим причинам;26175;4323;9187;8870;225;427;77;3066;5271
14;Численность обучающихся на начало прошлого учебного года (по состоянию на 20 сентября);14321208;;;;;;;;
