;;
;;
;;
;;
;;
1;2;3
№ строки;Наименование показателей;Код: да – 1, нет – 0
1;Лицензия на осуществление образовательной деятельности;45377
2;Свидетельство о государственной аккредитации образовательной деятельности по образовательным программам начального общего, основного общего, среднего общего образования;44010
3;Коллегиальные органы управления;43736
4;в том числе:       общее собрание;35849
5;педагогический совет;42813
6;попечительский совет;6436
7;управляющий совет;20850
8;наблюдательный совет;3281
9;другие;10029
10;Советы обучающихся;32281
11;Советы родителей;33123
12;Профессиональные союзы работников;37227
13;из строки 03 с участием общественности (родителей, работодателей);33405
