;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52
№ строки;Наименование показателя;Всего (сумма граф 4-47);Программы начального общего образования с нормативным сроком обучения 4 года 1-й класс;Программы начального общего образования с нормативным сроком обучения 4 года 2-й класс;Программы начального общего образования с нормативным сроком обучения 4 года 3-й класс;Программы начального общего образования с нормативным сроком обучения 4 года 4-й класс;Программы начального общего образования с нормативным сроком обучения 5–6 лет 1-й класс;Программы начального общего образования с нормативным сроком обучения 5–6 лет 1-й класс первого года обучения;Программы начального общего образования с нормативным сроком обучения 5–6 лет 1-й класс второго года обучения;Программы начального общего образования с нормативным сроком обучения 5–6 лет 2-й класс;Программы начального общего образования с нормативным сроком обучения 5–6 лет 2-й класс первого года обучения;Программы начального общего образования с нормативным сроком обучения 5–6 лет 2-й класс второго года обучения;Программы начального общего образования с нормативным сроком обучения 5–6 лет 3-й класс;Программы начального общего образования с нормативным сроком обучения 5–6 лет 3-й класс первого года обучения;Программы начального общего образования с нормативным сроком обучения 5–6 лет 3-й класс второго года обучения;Программы начального общего образования с нормативным сроком обучения 5–6 лет 4-й класс;Программы начального общего образования с нормативным сроком обучения 5–6 лет 4-й класс первого года обучения;Программы начального общего образования с нормативным сроком обучения 5–6 лет 4-й класс второго года обучения;Программы основного общего образования с нормативным сроком освоения 5 лет 5-й класс;Программы основного общего образования с нормативным сроком освоения 5 лет 6-й класс;Программы основного общего образования с нормативным сроком освоения 5 лет 7-й класс;Программы основного общего образования с нормативным сроком освоения 5 лет 8-й класс;Программы основного общего образования с нормативным сроком освоения 5 лет 9-й класс;Программы основного общего образования с нормативным сроком освоения 6 лет 5-й класс;Программы основного общего образования с нормативным сроком освоения 6 лет 5-й класс первого года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 5-й класс второго года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 6-й класс;Программы основного общего образования с нормативным сроком освоения 6 лет 6-й класс первого года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 6-й класс второго года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 7-й класс;Программы основного общего образования с нормативным сроком освоения 6 лет 7-й класс первого года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 7-й класс второго года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 8-й класс;Программы основного общего образования с нормативным сроком освоения 6 лет 8-й класс первого года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 8-й класс второго года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 9-й класс;Программы основного общего образования с нормативным сроком освоения 6 лет 9-й класс первого года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 9-й класс второго года обучения;Программы среднего общего образования с нормативным сроком освоения 2 года 10-й класс;Программы среднего общего образования с нормативным сроком освоения 2 года 11-й класс;Программы среднего общего образования с нормативным сроком освоения 3 года 10-й класс;Программы среднего общего образования с нормативным сроком освоения 3 года 10-й класс первого года обучения;Программы среднего общего образования с нормативным сроком освоения 3 года 10-й класс второго года обучения;Программы среднего общего образования с нормативным сроком освоения 3 года 11-й класс;Программы среднего общего образования с нормативным сроком освоения 3 года 11-й класс первого года обучения;Программы среднего общего образования с нормативным сроком освоения 3 года 11-й класс второго года обучения;Из общей численности обучающихся (из гр. 3): лица с ограниче- нными возможно- стями здоровья;Из общей численности обучающихся (из гр. 3): из них: инвалиды;Из общей численности обучающихся (из гр. 3): из них: дети-инвалиды;Из общей численности обучающихся (из гр. 3): инвалиды  (кроме учтенных в гр. 49);Из общей численности обучающихся (из гр. 3): дети-инвалиды  (кроме учтенных в гр. 50)
1;Число классов для глухих, ед.;20;;;;;;;;;;;;;;;;;;;;1;2;;;;;;;;;;;;;;;;1;1;1;2;3;3;3;3;;;;;
2;В них обучающихся, чел.;125;;;;;;;;;;;;;;;;;;;;2;11;;;;;;;;;;;;;;;;2;4;10;16;19;16;25;20;118;102;15;;
3;Число классов для слабослышащих и позднооглохших, ед.;3;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1;;;;1;;;;;;
4;В них обучающихся, чел.;15;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;5;;;;6;;;;;;
5;Число классов для слепых, ед.;8;;;;;;;;;;;;;;;;;1;1;;1;1;;;;;;;;;;1;;;;;;1;1;;;;;;1;;;;;
6;В них обучающихся, чел:       cлепых;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;
7;слабовидящих и поздноослепших;29;;;;;;;;;;;;;;;;;2;2;;4;3;;;;;;;;;;;;;;;;7;5;;;;;;6;29;16;11;;
8;Число классов для слабовидящих и поздноослепших, ед.;13;;;1;;;;;1;;;1;;;;;1;;;;;;;;;1;;;1;;;1;;;;1;1;1;1;1;;;;1;;;;;;
9;В них обучающихся, чел:       слабовидящих и поздноослепших;19;;;1;;;;;2;;;1;;;;;1;;;;;;;;;1;;;1;;;1;;;;4;1;1;5;;;;;;;19;;10;;
10;cлепых;53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;24;;;;28;;53;53;;;
11;Число классов для обучающихся с тяжелыми нарушениями речи, ед.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;В них обучающихся, чел.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;Число классов для обучающихся с нарушением опорно-двигательного аппарата, ед.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;В них обучающихся, чел.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;Число классов для обучающихся с задержкой психического развития, ед.;6;;;1;;;;;;;;;;;;;;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;В них обучающихся, чел.;45;;;1;;;;;;;;;;;;;;10;12;1;8;13;;;;;;;;;;;;;;;;;;;;;;;;45;;;;
17;Число классов для обучающихся с расстройствами аутистического спектра, ед.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;В них обучающихся, чел.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;Число классов для обучающихся со сложными дефектами, ед.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;В них обучающихся, чел.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;Число классов для обучающихся с иными ограниченными возможностями здоровья (кроме классов для обучающихся с умственной отсталостью (интеллектуальными нарушениями)), ед.;1;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;В них обучающихся, чел.;1;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;;
23;Итого классов (сумма стр. 01,03, 05, 08, 11, 13, 15, 17, 19, 21);51;;;2;;;;;1;;;1;;;;;1;2;2;1;3;6;;;;1;;;1;;;2;;;;1;1;3;3;3;2;3;3;5;4;12;;;;
24;В них обучающихся (сумма стр. 02, 04, 06, 07, 09, 10, 12, 14, 16, 18, 20, 22);288;;;2;;;;;2;;;1;;;;;1;12;14;1;14;32;;;;1;;;1;;;2;;;;4;1;10;15;39;16;19;16;59;26;287;191;37;;
25;из них (из строки 24):       воспитанники (без приходящих учащихся);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;девочки;120;;;1;;;;;1;;;1;;;;;;6;3;1;8;7;;;;;;;;;;1;;;;;;3;8;19;8;5;5;25;18;116;83;8;;
27;лица с ограниченными возможностями здоровья;288;;;2;;;;;2;;;1;;;;;1;12;14;1;14;32;;;;1;;;1;;;2;;;;4;1;10;15;39;16;19;16;59;26;;;;;
28;из них (из стр.27):             инвалиды;192;;;;;;;;;;;;;;;;;;;;2;9;;;;;;;;;;1;;;;;;4;6;39;15;18;16;57;25;;;;;
