;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52
№ строки;Наименование показателя;Всего (сумма граф 4-47);Программы начального общего образования с нормативным сроком обучения 4 года 1-й класс;Программы начального общего образования с нормативным сроком обучения 4 года 2-й класс;Программы начального общего образования с нормативным сроком обучения 4 года 3-й класс;Программы начального общего образования с нормативным сроком обучения 4 года 4-й класс;Программы начального общего образования с нормативным сроком обучения 5–6 лет 1-й класс;Программы начального общего образования с нормативным сроком обучения 5–6 лет 1-й класс первого года обучения;Программы начального общего образования с нормативным сроком обучения 5–6 лет 1-й класс второго года обучения;Программы начального общего образования с нормативным сроком обучения 5–6 лет 2-й класс;Программы начального общего образования с нормативным сроком обучения 5–6 лет 2-й класс первого года обучения;Программы начального общего образования с нормативным сроком обучения 5–6 лет 2-й класс второго года обучения;Программы начального общего образования с нормативным сроком обучения 5–6 лет 3-й класс;Программы начального общего образования с нормативным сроком обучения 5–6 лет 3-й класс первого года обучения;Программы начального общего образования с нормативным сроком обучения 5–6 лет 3-й класс второго года обучения;Программы начального общего образования с нормативным сроком обучения 5–6 лет 4-й класс;Программы начального общего образования с нормативным сроком обучения 5–6 лет 4-й класс первого года обучения;Программы начального общего образования с нормативным сроком обучения 5–6 лет 4-й класс второго года обучения;Программы основного общего образования с нормативным сроком освоения 5 лет 5-й класс;Программы основного общего образования с нормативным сроком освоения 5 лет 6-й класс;Программы основного общего образования с нормативным сроком освоения 5 лет 7-й класс;Программы основного общего образования с нормативным сроком освоения 5 лет 8-й класс;Программы основного общего образования с нормативным сроком освоения 5 лет 9-й класс;Программы основного общего образования с нормативным сроком освоения 6 лет 5-й класс;Программы основного общего образования с нормативным сроком освоения 6 лет 5-й класс первого года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 5-й класс второго года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 6-й класс;Программы основного общего образования с нормативным сроком освоения 6 лет 6-й класс первого года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 6-й класс второго года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 7-й класс;Программы основного общего образования с нормативным сроком освоения 6 лет 7-й класс первого года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 7-й класс второго года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 8-й класс;Программы основного общего образования с нормативным сроком освоения 6 лет 8-й класс первого года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 8-й класс второго года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 9-й класс;Программы основного общего образования с нормативным сроком освоения 6 лет 9-й класс первого года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 9-й класс второго года обучения;Программы среднего общего образования с нормативным сроком освоения 2 года 10-й класс;Программы среднего общего образования с нормативным сроком освоения 2 года 11-й класс;Программы среднего общего образования с нормативным сроком освоения 3 года 10-й класс;Программы среднего общего образования с нормативным сроком освоения 3 года 10-й класс первого года обучения;Программы среднего общего образования с нормативным сроком освоения 3 года 10-й класс второго года обучения;Программы среднего общего образования с нормативным сроком освоения 3 года 11-й класс;Программы среднего общего образования с нормативным сроком освоения 3 года 11-й класс первого года обучения;Программы среднего общего образования с нормативным сроком освоения 3 года 11-й класс второго года обучения;Из общей численности обучающихся (из гр. 3): лица с ограниче- нными возможно- стями здоровья;Из общей численности обучающихся (из гр. 3): из них: инвалиды;Из общей численности обучающихся (из гр. 3): из них: дети-инвалиды;Из общей численности обучающихся (из гр. 3): инвалиды  (кроме учтенных в гр. 49);Из общей численности обучающихся (из гр. 3): дети-инвалиды  (кроме учтенных в гр. 50)
1;Число классов для глухих, ед.;1123;11;9;26;29;33;56;31;50;17;8;46;18;11;38;33;40;28;26;29;35;27;31;9;8;53;15;2;63;12;4;61;17;16;43;59;69;24;27;1;;;2;2;4;;;;;
2;В них обучающихся, чел.;6102;78;53;137;155;177;302;157;266;95;42;233;95;65;199;199;178;164;153;165;226;161;157;56;37;269;90;11;338;70;19;320;97;89;216;340;374;142;137;5;;;7;8;20;4492;362;3856;;84
3;Число классов для слабослышащих и позднооглохших, ед.;1389;28;22;38;35;63;61;36;76;31;6;74;23;7;33;52;64;14;16;18;15;14;75;28;12;68;19;6;70;18;8;76;23;14;37;78;70;28;17;5;2;1;3;2;3;;;;;
4;В них обучающихся, чел.;8551;200;152;244;236;354;374;184;454;173;37;457;141;39;213;317;370;98;110;120;110;96;448;199;72;441;132;38;405;123;50;458;162;94;214;475;437;126;85;33;14;6;21;16;23;6280;302;5474;8;90
5;Число классов для слепых, ед.;284;6;9;13;16;13;11;7;17;;;10;1;2;7;;3;8;9;7;6;6;14;1;;16;1;;16;1;;19;2;;3;11;14;14;16;;;;2;2;1;;;;;
6;В них обучающихся, чел:       cлепых;1320;26;47;60;74;56;45;36;87;;;38;10;16;45;;3;35;35;32;29;31;53;6;;82;9;;68;8;;83;14;;14;58;64;68;66;;;;11;7;4;883;66;816;;
7;слабовидящих и поздноослепших;496;3;16;29;17;5;38;18;21;;;35;;;10;;2;16;6;10;7;11;20;1;;22;2;;24;3;;52;5;;11;35;22;18;27;;;;5;5;;395;7;269;;
8;Число классов для слабовидящих и поздноослепших, ед.;1607;101;108;157;162;55;26;11;63;7;;23;1;;8;4;1;45;46;37;39;38;94;3;;93;4;;99;3;;89;3;;25;77;78;43;45;6;1;1;4;3;4;;;;;
9;В них обучающихся, чел:       слабовидящих и поздноослепших;14093;1178;1173;1584;1563;436;207;92;497;60;;182;11;;75;29;4;422;374;335;304;312;793;18;;810;21;;851;25;;747;25;;207;595;626;212;221;40;10;8;22;10;14;9170;148;2937;;2
