;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11
№ строки;Наименование показателя;Всего  (сумма гр. 4–10);Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы начального общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы основного общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы начального общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы основного общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья образование обучающихся с умственной отсталостью (интеллектуаль- ными нарушениями);Из гр. 3 – лица в возрасте 18 лет и старше
1;Выбыло обучающихся – всего (сумма стр. 02, 05, 08–13);24124;1627;7498;14883;37;83;6;22;11086
2;в том числе:       продолжили обучение в данной организации в классах  иной формы       обучения или иной направленности;719;130;286;296;;7;;;92
3;из них (из строки 02):             в классах с иной формой обучения в пределах одной и той же             направленности;137;1;49;87;;;;;29
4;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в классы для обучающихся             с ограниченными возможностями здоровья;1;;;1;;;;;
5;выбыли в другие организации для продолжения обучения по       программам начального, основного или среднего общего образования;4972;1331;2498;1075;34;15;;19;553
6;из них (из строки 05) выбыло:             в классы иной формы обучения в пределах одной и той же             направленности;205;31;134;40;;;;;7
7;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в организации (классы) для обучающихся             с ограниченными возможностями здоровья;49;2;33;14;;;;;9
8;на обучение по программам среднего профессионального образования –       программам подготовки квалифицированных рабочих, служащих;1225;36;379;794;;16;;;189
9;на обучение по программам среднего профессионального образования –       программы подготовки специалистов среднего звена;790;;169;621;;;;;165
10;в связи с переходом на семейное образование и самообразование;261;2;102;153;;;4;;102
11;по болезни;78;;20;58;;;;;39
12;отчислено лиц, не прошедших итоговой аттестации, получивших на       итоговой аттестации неудовлетворительные результаты или освоивших       часть образовательной программы со справкой об обучении       или о периоде обучения;1305;;508;797;;;;;629
13;выбыло по другим причинам;14834;128;3564;11089;3;45;2;3;9317
14;Численность обучающихся на начало прошлого учебного года (по состоянию на 20 сентября);83870;;;;;;;;
