;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11
№ строки;Наименование показателя;Всего  (сумма гр. 4–10);Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы начального общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы основного общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы начального общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы основного общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья образование обучающихся с умственной отсталостью (интеллектуаль- ными нарушениями);Из гр. 3 – лица в возрасте 18 лет и старше
1;Выбыло обучающихся – всего (сумма стр. 02, 05, 08–13);39472;1723;11101;26432;40;103;35;38;20799
2;в том числе:       продолжили обучение в данной организации в классах  иной формы       обучения или иной направленности;1297;109;443;737;;8;;;455
3;из них (из строки 02):             в классах с иной формой обучения в пределах одной и той же             направленности;281;3;106;172;;;;;154
4;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в классы для обучающихся             с ограниченными возможностями здоровья;1;;1;;;;;;
5;выбыли в другие организации для продолжения обучения по       программам начального, основного или среднего общего образования;5922;1432;2745;1643;36;28;7;31;1157
6;из них (из строки 05) выбыло:             в классы иной формы обучения в пределах одной и той же             направленности;148;11;71;66;;;;;61
7;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в организации (классы) для обучающихся             с ограниченными возможностями здоровья;28;;26;2;;;;;3
8;на обучение по программам среднего профессионального образования –       программам подготовки квалифицированных рабочих, служащих;1700;36;480;1168;;16;;;499
9;на обучение по программам среднего профессионального образования –       программы подготовки специалистов среднего звена;1306;;262;1036;;7;1;;590
10;в связи с переходом на семейное образование и самообразование;321;2;138;181;;;;;113
11;по болезни;197;4;51;142;;;;;136
12;отчислено лиц, не прошедших итоговой аттестации, получивших на       итоговой аттестации неудовлетворительные результаты или освоивших       часть образовательной программы со справкой об обучении       или о периоде обучения;1345;;439;904;;1;1;;578
13;выбыло по другим причинам;27384;140;6543;20621;4;43;26;7;17271
14;Численность обучающихся на начало прошлого учебного года (по состоянию на 20 сентября);125054;;;;;;;;
