;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14
№ строки;Наименование показателя;"Всего  (сумма граф 4–10;  сумма граф  12-14)";Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы начального общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы основного общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы начального общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы основного общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья образование обучающихся с умственной отсталостью (интеллектуаль- ными нарушениями);Из графы 3 – лица в возрасте 18 лет и старше;Из графы 3 - обучались очно;Из графы 3 - обучались очно-заочно;Из графы 3 - обучались заочно
1;Выбыло обучающихся – всего (сумма строк 02, 05, 08–13);5867;2106;2983;731;6;9;;32;133;5701;120;46
2;в том числе:       продолжили обучение в данной организации в классах  иной формы       обучения или иной направленности;50;23;21;6;;;;;;50;;
3;из них (из строки 02):             в классах с иной формой обучения в пределах одной и той же             направленности;;;;;;;;;;;;
4;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в классы для обучающихся             с ограниченными возможностями здоровья;5;3;2;;;;;;;5;;
5;выбыли в другие организации для продолжения обучения по       программам начального, основного или среднего общего образования;4848;1971;2694;162;5;4;;12;3;4838;9;1
6;из них (из строки 05) выбыло:             в классы иной формы обучения в пределах одной и той же             направленности;;;;;;;;;;;;
7;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в организации (классы) для обучающихся             с ограниченными возможностями здоровья;17;7;10;;;;;;;17;;
8;на обучение по программам среднего профессионального образования –       программам подготовки квалифицированных рабочих, служащих;170;;14;156;;;;;7;162;8;
9;на обучение по программам среднего профессионального образования –       программы подготовки специалистов среднего звена;249;;13;236;;;;;;239;10;
10;в связи с переходом на семейное образование и самообразование;284;85;172;23;;2;;2;1;278;;6
11;по болезни;1;;;;;;;1;1;1;;
12;отчислено лиц, не прошедших итоговой аттестации, получивших на       итоговой аттестации неудовлетворительные результаты или освоивших       часть образовательной программы со справкой об обучении       или о периоде обучения;14;;5;9;;;;;2;14;;
13;выбыло по другим причинам;251;27;64;139;1;3;;17;119;119;93;39
