;;
;;
;;
;;
;;
1;2;3
№ строки;Наименование показателей;Код: да – 1, нет – 0
1;Лицензия на осуществление образовательной деятельности;146
2;Свидетельство о государственной аккредитации образовательной деятельности по образовательным программам начального общего, основного общего, среднего общего образования;141
3;Коллегиальные органы управления;146
4;в том числе:       общее собрание;140
5;педагогический совет;146
6;попечительский совет;11
7;управляющий совет;72
8;наблюдательный совет;
9;другие;4
10;Советы обучающихся;134
11;Советы родителей;143
12;Профессиональные союзы работников;134
13;из строки 03 с участием общественности (родителей, работодателей);113
14;Организация реализует профориентационный минимум;129
15;в том числе:       на базовом уровне;111
16;на основном уровне;17
17;на продвинутом уровне;3
