;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
1;2;3;4;5;6;7;8;9
№ строки;Наименование образовательных программ;Численность обучающихся по образовательным программам - всего, чел;Сетевая форма реализации образовательных программ численность обучающихся (из графы 3) по программам, реализуемым с использованием сетевой формы - всего, чел;Сетевая форма реализации образовательных программ число органи-заций, с которыми заключены дого-воры на реализа-цию образователь-ных программ с использованием сетевой формы, единиц , ед;Электронное обучение численность обучающихся (из графы 3) с применением электронного обучения , чел;Электронное обучение в том числе (из графы 6) с применением исключительно электронного обучения, чел;Дистанционные образовательные технологии численность обучающихся (из графы 3) с применением дистанционных образовательных технологий, чел;Дистанционные образовательные технологии в том числе (из графы 8) с применением исключительно дистанционных образовательных технологий, чел
1;Всего по образовательным программам (сумма строк 02, 12, 22, 32);61497;55;;;;8;8
2;Образовательные программы начального общего образования;25082;;;;;1;1
3;из них адаптированные;743;;;;;1;1
4;в том числе:           для глухих;11;;;;;;
5;для слабослышащих и позднооглохших;11;;;;;;
6;для слепых;5;;;;;;
7;для слабовидящих;25;;;;;;
8;с тяжелыми нарушениями речи;179;;;;;;
9;с нарушениями опорно-двигательного аппарата;28;;;;;1;1
10;с задержкой психического развития;404;;;;;;
11;с расстройствами аутистического спектра;80;;;;;;
12;Образовательные программы основного общего образования;31140;8;;;;6;6
13;из них адаптированные;683;;;;;2;2
14;в том числе:           для глухих;;;;;;;
15;для слабослышащих и позднооглохших;39;;;;;1;1
16;для слепых;1;;;;;;
17;для слабовидящих;37;;;;;;
18;с тяжелыми нарушениями речи;13;;;;;;
19;с нарушениями опорно-двигательного аппарата;7;;;;;;
20;с задержкой психического развития;574;;;;;1;1
21;с расстройствами аутистического спектра;12;;;;;;
22;Образовательные программы среднего общего образования;4359;47;;;;1;1
23;из них адаптированные;3;;;;;;
24;в том числе:           для глухих;;;;;;;
25;для слабослышащих и позднооглохших;;;;;;;
26;для слепых;1;;;;;;
27;для слабовидящих;2;;;;;;
28;с тяжелыми нарушениями речи;;;;;;;
29;с нарушениями опорно-двигательного аппарата;;;;;;;
30;с задержкой психического развития;;;;;;;
31;с расстройствами аутистического спектра;;;;;;;
32;Программы образования обучающихся с умственной отсталостью (интеллектуальными нарушениями);916;;;;;;
33;Справочно. Код по ОКЕИ: человек – 792  Из общей численности обучающихся (из графы 3 подраздела 1.3.) – лица, имеющие кохлеарные импланты и обучающиеся по программам:    начального общего образования (из строки 02);5;;;;;;
34;из них в отдельных классах для обучающихся с ограниченными       возможностями здоровья;3;;;;;;
35;основного общего образования (из строки 12);18;;;;;;
36;из них в отдельных классах для обучающихся с ограниченными       возможностями здоровья;13;;;;;;
37;среднего общего образования (из строки 22);;;;;;;
38;из них в отдельных классах для обучающихся с ограниченными       возможностями здоровья;;;;;;;
39;образования обучающихся с умственной отсталостью    (интеллектуальными нарушениями) (из строки 32);3;;;;;;
40;из них в отдельных классах для обучающихся с ограниченными       возможностями здоровья;3;;;;;;
