;;
;;
;;
;;
;;
1;2;3
№ строки;Наименование показателей;Код: да – 1, нет – 0
1;Лицензия на осуществление образовательной деятельности;282
2;Свидетельство о государственной аккредитации образовательной деятельности по образовательным программам начального общего, основного общего, среднего общего образования;275
3;Коллегиальные органы управления;277
4;в том числе:       общее собрание;250
5;педагогический совет;277
6;попечительский совет;22
7;управляющий совет;256
8;наблюдательный совет;2
9;другие;22
10;Советы обучающихся;241
11;Советы родителей;239
12;Профессиональные союзы работников;262
13;из строки 03 с участием общественности (родителей, работодателей);236
14;Организация реализует профориентационный минимум;259
15;в том числе:       на базовом уровне;114
16;на основном уровне;143
17;на продвинутом уровне;5
