;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
№ строки;Наименование показателей;Общая численность обучающихся (сумма граф  4, 7, 10, 13);Численность обучающихся по программам начального общего образования – всего;Численность обучающихся по программам из графы 4 девочки;Численность обучающихся по программам из графы 4 обучающиеся 1-го класса или 1-го класса первого года обучения  по пролонги-рованным программам;Численность обучающихся по программам основного общего образования – всего;Численность обучающихся по программам из графы 7 девочки;Численность обучающихся по программам из графы 7 обучающиеся 5-го класса или 5-го класса первого года обучения  по пролонги- рованным программам;Численность обучающихся по программам среднего общего образования – всего;Численность обучающихся по программам из графы 10 девочки;Численность обучающихся по программам из графы 10 обучающиеся 10-го класса  или 10-го класса первого года обучения  по пролонги-рованным программам;Численность обучающихся по программам образование обучающихся с умственной отсталостью (интеллекту-альными нарушениями);Численность обучающихся по программам из графы 13 девочки;Численность обучающихся по программам из графы 13 обучающиеся первого года обучения;из них (из графы 3) обучающиеся по очно-заочной и заочной формам обучения*;из них (из графы 3) обучающиеся иностранные граждане;из них (из графы 3) из них (из гр. 17) девочки;из них (из графы 3) обучающиеся лица без гражданства
1;Всего;1729;257;92;58;196;81;47;;;;1276;422;90;;8;6;
2;В том числе в возрасте (число полных лет на 1 января следующего календарного года):    5 лет;;;;;;;;;;;;;;;;;
3;6 лет;3;3;2;3;;;;;;;;;;;;;
4;7 лет;37;20;7;13;;;;;;;17;2;14;;1;;
5;8 лет;103;49;19;33;;;;;;;54;13;27;;2;2;
6;9 лет;154;60;17;5;;;;;;;94;40;6;;2;1;
7;10 лет;162;51;18;2;1;;1;;;;110;32;;;;;
8;11 лет;196;48;15;2;5;1;5;;;;143;52;;;1;1;
9;12 лет;213;18;10;;30;8;21;;;;165;62;;;1;1;
10;13 лет;201;5;3;;49;21;10;;;;147;44;;;;;
11;14 лет;233;3;1;;40;17;6;;;;190;65;;;;;
12;15 лет;215;;;;38;19;1;;;;177;54;;;;;
13;16 лет;116;;;;22;8;2;;;;94;29;;;;;
14;17 лет;31;;;;9;5;;;;;22;10;;;;;
15;18 лет;6;;;;2;2;1;;;;4;2;;;;;
16;19 лет;;;;;;;;;;;;;;;;;
17;20 лет;1;;;;;;;;;;1;;;;;;
18;21 год;3;;;;;;;;;;3;2;;;1;1;
19;22 года;;;;;;;;;;;;;;;;;
20;23 года;1;;;;;;;;;;1;;;;;;
21;24 года;1;;;;;;;;;;1;;1;;;;
22;25 лет;4;;;;;;;;;;4;2;3;;;;
23;26 лет;;;;;;;;;;;;;;;;;
24;27 лет;2;;;;;;;;;;2;2;2;;;;
25;28 лет;4;;;;;;;;;;4;;4;;;;
26;29 лет;3;;;;;;;;;;3;;2;;;;
27;30–34 года;7;;;;;;;;;;7;;5;;;;
28;35–39 лет;14;;;;;;;;;;14;5;14;;;;
29;40 лет и старше;19;;;;;;;;;;19;6;12;;;;
*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05
