;;
;;
;;
;;
;;
1;2;3
№ строки;Наименование показателей;Код: да – 1, нет – 0
1;Лицензия на осуществление образовательной деятельности;331
2;Свидетельство о государственной аккредитации образовательной деятельности по образовательным программам начального общего, основного общего, среднего общего образования;327
3;Коллегиальные органы управления;327
4;в том числе:       общее собрание;245
5;педагогический совет;319
6;попечительский совет;28
7;управляющий совет;243
8;наблюдательный совет;144
9;другие;28
10;Советы обучающихся;289
11;Советы родителей;241
12;Профессиональные союзы работников;104
13;из строки 03 с участием общественности (родителей, работодателей);184
14;Организация реализует профориентационный минимум;301
15;в том числе:       на базовом уровне;130
16;на основном уровне;152
17;на продвинутом уровне;31
