;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
1;2;3;4;5;6;7;8
№ строки;Наименование показателей;Код государства  по ОКСМ;Всего (сумма граф 5–8);Численность обучающихся во всех классах кроме классов для обучающихся с ограниченными возможностями здоровья, по программам начального об-щего образова-ния (1-4 классы);Численность обучающихся во всех классах кроме классов для обучающихся с ограниченными возможностями здоровья, по программам основного об-щего образова-ния (5–9 классы);Численность обучающихся во всех классах кроме классов для обучающихся с ограниченными возможностями здоровья, по программам среднего общего образования (10–11(12) классы);Численность обучающихся в классах для обучающихся с ограниченными возможностями здоровья
1;Численность обучающихся иностранных граждан - всего;;554;283;256;9;6
2;Азербайджан;31;32;15;17;;
3;Армения;51;39;18;19;2;
4;Беларусь;112;10;4;3;3;
5;Китай;156;15;3;12;;
6;Казахстан;398;4;3;1;;
7;Киргизия;417;72;30;39;3;
8;Латвия;428;1;1;;;
9;Молдова, Республика;498;1;;1;;
10;Таджикистан;762;183;112;68;;3
11;Турция;792;4;1;3;;
12;Туркменистан;795;2;1;1;;
13;Украина;804;2;1;1;;
14;Узбекистан;860;189;94;91;1;3
15;;;;;;;
16;;;;;;;
17;;;;;;;
18;;;;;;;
19;;;;;;;
20;;;;;;;
21;;;;;;;
22;;;;;;;
23;;;;;;;
24;;;;;;;
25;;;;;;;
26;;;;;;;
27;;;;;;;
28;;;;;;;
29;;;;;;;
30;;;;;;;
31;;;;;;;
32;;;;;;;
33;;;;;;;
34;;;;;;;
35;;;;;;;
36;;;;;;;
37;;;;;;;
38;;;;;;;
39;;;;;;;
40;;;;;;;
41;;;;;;;
42;;;;;;;
43;;;;;;;
44;;;;;;;
45;;;;;;;
46;;;;;;;
47;;;;;;;
48;;;;;;;
49;;;;;;;
50;;;;;;;
51;;;;;;;
52;;;;;;;
53;;;;;;;
54;;;;;;;
55;;;;;;;
56;;;;;;;
57;;;;;;;
58;;;;;;;
59;;;;;;;
60;;;;;;;
61;;;;;;;
62;;;;;;;
63;;;;;;;
64;;;;;;;
65;;;;;;;
66;;;;;;;
67;;;;;;;
68;;;;;;;
69;;;;;;;
70;;;;;;;
71;;;;;;;
72;;;;;;;
73;;;;;;;
74;;;;;;;
75;;;;;;;
76;;;;;;;
77;;;;;;;
78;;;;;;;
79;;;;;;;
80;;;;;;;
81;;;;;;;
82;;;;;;;
83;;;;;;;
84;;;;;;;
85;;;;;;;
86;;;;;;;
87;;;;;;;
88;;;;;;;
89;;;;;;;
90;;;;;;;
91;;;;;;;
92;;;;;;;
93;;;;;;;
94;;;;;;;
95;;;;;;;
96;;;;;;;
97;;;;;;;
98;;;;;;;
99;;;;;;;
100;;;;;;;
101;;;;;;;
102;;;;;;;
103;;;;;;;
104;;;;;;;
105;;;;;;;
106;;;;;;;
107;;;;;;;
108;;;;;;;
109;;;;;;;
110;;;;;;;
111;;;;;;;
112;;;;;;;
113;;;;;;;
114;;;;;;;
115;;;;;;;
116;;;;;;;
117;;;;;;;
118;;;;;;;
119;;;;;;;
120;;;;;;;
121;;;;;;;
122;;;;;;;
123;;;;;;;
124;;;;;;;
125;;;;;;;
126;;;;;;;
127;;;;;;;
128;;;;;;;
129;;;;;;;
130;;;;;;;
