;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22
№ строки;Наименование показателя;"Всего сумма граф 4 - 16; сумма граф 20-22";В том числе 1-й класс;В том числе 2-й класс;В том числе 3-й класс;В том числе 4-й класс;В том числе 5-й класс;В том числе 6-й класс;В том числе 7-й класс;В том числе 8-й класс;В том числе 9-й класс;В том числе 10-й класс;В том числе 11-й класс (выпускной);В том числе 11-й класс;В том числе 12-й класс;Из графы 3 инвалиды;Из графы 3 дети-инвалиды;Из графы 3 с умственной отсталостью;В том числе обучаются (из гр.3) очно;В том числе обучаются (из гр.3) очно-заочно;В том числе обучаются (из гр.3) заочно
1;Число классов, имеющих в своем составе лиц с ограниченными возможностями здоровья, ед.;1879;134;162;199;223;210;236;210;239;235;20;11;;;;;;;;
2;В них обучающихся (всего), чел.;28531;2091;2610;3057;3568;3317;3429;3167;3400;3546;188;158;;;;;;;;
3;из них (из строки 02) лица с ограниченными       возможностями здоровья:          глухие;3;;;1;1;1;;;;;;;;;1;1;;2;1;
4;слабослышащие;32;6;2;2;3;1;3;4;4;4;2;1;;;;21;;32;;
5;позднооглохшие;2;;;;1;;;;1;;;;;;1;1;;2;;
6;слепые;4;1;;;1;;1;;1;;;;;;;4;;4;;
7;слабовидящие;49;3;3;7;2;5;9;6;8;2;3;1;;;;38;;49;;
8;с тяжелыми нарушениями речи;58;9;12;5;5;8;5;4;4;5;1;;;;;26;2;58;;
9;с нарушением опорно-двигательного аппарата;134;16;17;18;10;9;22;14;12;14;1;1;;;5;103;4;134;;
10;с задержкой психического развития;1344;80;100;149;210;142;169;174;161;157;2;;;;30;125;2;1344;;
11;с умственной отсталостью (интеллектуальными          нарушениями);1176;61;66;102;126;150;133;151;196;186;2;3;;;29;442;;1171;5;
12;с расстройствами аутистического спектра;37;5;9;3;3;5;5;3;2;2;;;;;3;24;1;35;;2
13;со сложными дефектами;8;1;1;;2;2;;1;1;;;;;;;8;1;8;;
14;с иными ограниченными возможностями          здоровья;162;12;18;13;16;17;18;11;22;19;9;7;;;4;112;9;162;;
